Id,Category,Sentence
3621,4,"It 's a fine , focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ."
5758,2,It makes sense that he went back to school to check out the girls -- his film is a frat boy 's idea of a good time .
5783,2,What can one say about a balding 50-year-old actor playing an innocent boy carved from a log ?
10391,3,A mischievous visual style and oodles of charm make ` Cherish ' a very good -LRB- but not great -RRB- movie .
11494,3,"From the dull , surreal ache of mortal awareness emerges a radiant character portrait ."
8388,3,"The subtitled costume drama is set in a remote African empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow ."
1777,3,Leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing .
2909,1,"While this one gets off with a good natured warning , future Lizard endeavors will need to adhere more closely to the laws of laughter"
6535,2,into Scrooge .
1841,1,A negligible British comedy .
11142,3,This deeply spiritual film taps into the meaning and consolation in afterlife communications .
2666,3,"Plus , like I already mentioned ... it 's Robert Duvall !"
5674,0,I can analyze this movie in three words : Thumbs Friggin ' Down .
2183,4,This is a movie you can trust .
2232,2,"A movie that 's just plain awful but still manages to entertain on a guilty-pleasure , so-bad-it 's - funny level ."
6159,3,"A family film that contains some hefty thematic material on time , death , eternity , and what is needed to live a rich and full life ."
5396,1,"as in aimless , arduous , and arbitrary ."
2990,1,Plays like John Le Carré with a couple of burnt-out cylinders .
1846,3,"You may leave the theater with more questions than answers , but darned if your toes wo n't still be tapping ."
10865,0,"This is a fragmented film , once a good idea that was followed by the bad idea to turn it into a movie ."
9294,4,"A first-class road movie that proves you can run away from home , but your ego and all your problems go with you ."
6019,1,The film is so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film .
11440,0,There 's not a comedic moment in this romantic comedy .
7269,3,"Reminiscent of Alfred Hitchcock 's thrillers , most of the scary parts in ` Signs ' occur while waiting for things to happen ."
162,2,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .
1203,1,"Julie Davis is the Kathie Lee Gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent ."
4840,4,The film is one of the year 's best .
3568,3,"It 's not like having a real film of Nijinsky , but at least it 's better than that eponymous 1980 biopic that used soap in the places where the mysteries lingered ."
10944,3,"I like that Smith , he 's not making fun of these people , he 's not laughing at them ."
7593,0,A poky and pseudo-serious exercise in sham actor workshops and an affected malaise .
5736,2,"Eccentric enough to stave off doldrums , Caruso 's self-conscious debut is also eminently forgettable ."
487,2,Goes a long way on hedonistic gusto .
4915,3,"Comedian , like its subjects , delivers the goods and audiences will have a fun , no-frills ride ."
10215,3,"Though Lan Yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude ."
2527,3,"It may not be a huge cut of above the rest , but I enjoyed Barbershop ."
5292,4,Serious movie-goers embarking upon this journey will find that The Road to Perdition leads to a satisfying destination .
2415,3,"Amidst the action , the script carries Arnold -LRB- and the viewers -RRB- into the forbidden zone of sympathizing with terrorist motivations by presenting the `` other side of the story . ''"
3871,3,"In the director 's cut , the film is not only a love song to the movies but it also is more fully an example of the kind of lush , all-enveloping movie experience it rhapsodizes ."
3709,3,"Delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for ."
10759,4,"A real winner -- smart , funny , subtle , and resonant ."
4975,1,The Chateau ... is less concerned with cultural and political issues than doting on its eccentric characters .
9111,3,"Uplifting , funny and wise ."
4484,1,"As a story of dramatic enlightenment , the screenplay by Billy Ray and Terry George leaves something to be desired ."
5419,3,`` Barbershop '' is a good-hearted ensemble comedy with a variety of quirky characters and an engaging story .
2326,2,"The film is a blunt indictment , part of a perhaps surreal campaign to bring Kissinger to trial for crimes against humanity ."
126,3,Makes one thing abundantly clear .
3900,0,Such a bad movie that its luckiest viewers will be seated next to one of those ignorant pinheads who talk throughout the show .
4564,2,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .
971,0,The whole film has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as Very Important simply because the movie is ugly to look at and not a Hollywood product .
7177,1,-LRB- T -RRB- he film is never sure to make a clear point -- even if it seeks to rely on an ambiguous presentation .
7891,2,"Perhaps not since Nelson Eddy crooned his Indian Love Call to Jeanette MacDonald has there been a movie so unabashedly Canadian , not afraid to risk American scorn or disinterest ."
1187,3,A fine documentary can be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience .
2425,1,"True to its title , it traps audiences in a series of relentlessly nasty situations that we would pay a considerable ransom not to be looking at ."
9554,0,A grand fart coming from a director beginning to resemble someone 's crazy French grandfather .
5309,4,"If you ever wondered what it would be like to be smack in the middle of a war zone armed with nothing but a camera , this Oscar-nominated documentary takes you there ."
8875,1,Breen 's script is sketchy with actorish notations on the margin of acting .
652,3,Crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .
1150,3,What bubbles up out of John C. Walsh 's Pipe Dream is the distinct and very welcome sense of watching intelligent people making a movie they might actually want to watch .
3579,3,"The picture runs a mere 84 minutes , but it 's no glance ."
6044,3,The hypnotic imagery and fragmentary tale explore the connections between place and personal identity .
6004,3,"It really is a shame that more wo n't get an opportunity to embrace small , sweet ` Evelyn . '"
2417,4,As giddy and whimsical and relevant today as it was 270 years ago .
3531,1,"It stars schticky Chris Rock and stolid Anthony Hopkins , who seem barely in the same movie ."
3227,2,The Country Bears has no scenes that will upset or frighten young viewers .
3989,3,The Chateau is a risky venture that never quite goes where you expect and often surprises you with unexpected comedy .
9961,2,"Ah , the travails of metropolitan life !"
8266,3,"And the reason for that is a self-aware , often self-mocking , intelligence ."
8274,1,"This rather unfocused , all-over-the-map movie would be a lot better if it pared down its plots and characters to a few rather than dozens ... or if it were subtler ... or if it had a sense of humor ."
6985,1,The film 's needlessly opaque intro takes its doe-eyed Crudup out of pre-9 \/ 11 New York and onto a cross-country road trip of the Homeric kind .
254,4,Brian Tufano 's handsome widescreen photography and Paul Grabowsky 's excellent music turn this fairly parochial melodrama into something really rather special .
579,0,"The movie 's ultimate point -- that everyone should be themselves -- is trite , but the screenwriter and director Michel Gondry restate it to the point of ridiculousness ."
946,2,I do n't even care that there 's no plot in this Antonio Banderas-Lucy Liu faceoff .
389,2,"Leigh 's daring here is that without once denying the hardscrabble lives of people on the economic fringes of Margaret Thatcher 's ruinous legacy , he insists on the importance of those moments when people can connect and express their love for each other ."
9800,3,Reign of Fire just might go down as one of the all-time great apocalypse movies .
1415,3,The best of the Pierce Brosnan James Bond films to date .
3556,2,"Dark and disturbing , yet compelling to watch ."
2457,3,A film that will enthrall the whole family .
10871,1,May offend viewers not amused by the sick sense of humor .
2179,2,"Worth seeing once , but its charm quickly fades ."
1228,2,"For 95 often hilarious minutes , -LRB- Cho -RRB- riffs on the diciness of colonics , on straight versus gay personal ads , on how men would act if they had periods , and on the perils of a certain outré sexual practice ."
7140,0,Tries so hard to be quirky and funny that the strain is all too evident .
3869,1,"It 's a movie that ends with Truckzilla , for cryin ' out loud ."
1344,3,"-LRB- Shyamalan -RRB- turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count ."
2509,2,"Lan Yu is certainly a serviceable melodrama , but it does n't even try for the greatness that Happy Together shoots for -LRB- and misses -RRB- ."
1650,1,"A series of escapades demonstrating the adage that what is good for the goose is also good for the gander , some of which occasionally amuses but none of which amounts to much of a story ."
7417,1,So exaggerated and broad that it comes off as annoying rather than charming .
3972,2,A romance ?
10562,3,They are what makes it worth the trip to the theatre .
1275,3,"The Woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made Allen 's romantic comedies so pertinent and enduring ."
5061,3,"Henry Bean 's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect"
6459,0,Most of the movie is so deadly dull that watching the proverbial paint dry would be a welcome improvement .
7517,4,"More than anything else , Kissing Jessica Stein injects freshness and spirit into the romantic comedy genre , which has been held hostage by generic scripts that seek to remake Sleepless in Seattle again and again ."
889,3,"Other than the slightly flawed -LRB- and fairly unbelievable -RRB- finale , everything else is top shelf ."
1279,3,... a guiltless film for nice evening out .
2047,0,"... a movie that , quite simply , should n't have been made ."
1817,1,"These self-styled athletes have banged their brains into the ground so frequently and furiously , their capacity to explain themselves has gone the same way as their natural instinct for self-preservation ."
3946,3,It strikes hardest ... when it reminds you how pertinent its dynamics remain .
10736,3,This in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .
10281,1,"With nary a glimmer of self-knowledge , -LRB- Crane -RRB- becomes more specimen than character -- and Auto Focus remains a chilly , clinical lab report ."
7015,2,` Snow Dogs ' has both .
4848,3,"Seen in that light , Moonlight Mile should strike a nerve in many ."
8200,0,"After several scenes of this tacky nonsense , you 'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions , especially because Half Past Dead is like The Rock on a Wal-Mart budget ."
2507,1,"Two big things are missing -- anything approaching a visceral kick , and anything approaching even a vague reason to sit through it all ."
707,1,The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .
7671,4,"A special kind of movie , this melancholic film noir reminded me a lot of Memento ..."
10922,2,Though its atmosphere is intriguing ... the drama is finally too predictable to leave much of an impression .
1918,0,"If you really want to understand what this story is really all about , you 're far better served by the source material ."
911,2,A chick flick for guys .
3573,3,"Max pokes , provokes , takes expressionistic license and hits a nerve ... as far as art is concerned , it 's mission accomplished ."
1234,3,An entertaining documentary that freshly considers arguments the Bard 's immortal plays were written by somebody else .
190,1,Those 24-and-unders looking for their own Caddyshack to adopt as a generational signpost may have to keep on looking .
10948,1,Wait to see it then .
6825,3,"Using an endearing cast , writer\/director Dover Kosashvili takes a slightly dark look at relationships , both sexual and kindred ."
9967,3,"That ` Alabama ' manages to be pleasant in spite of its predictability and occasional slowness is due primarily to the perkiness of Witherspoon -LRB- who is always a joy to watch , even when her material is not first-rate -RRB- ..."
7357,2,"Sometimes this modest little number clicks , and sometimes it does n't ."
6951,2,Calculated swill .
2334,1,Eight Legged Freaks ?
5514,2,"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing ."
2258,0,is a mess .
10688,3,"Enough may pander to our basest desires for payback , but unlike many revenge fantasies , it ultimately delivers ."
660,2,"Even if you have no interest in the gang-infested , East-vs ."
733,1,Hollywood has taken quite a nosedive from Alfred Hitchcock 's imaginative flight to Shyamalan 's self-important summer fluff .
11028,4,Mr. Koshashvili is a director to watch .
7930,3,Compassionately explores the seemingly irreconcilable situation between conservative Christian parents and their estranged gay and lesbian children .
7167,2,"It 's an actor 's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones ."
3352,0,We 've liked Klein 's other work but Rollerball left us cold .
6636,1,Director David Fincher and writer David Koepp ca n't sustain it .
4578,1,Not good enough to pass for a litmus test of the generation gap and not bad enough to repulse any generation of its fans .
11129,1,"A jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages ."
7792,1,"Silly stuff , all mixed up together like a term paper from a kid who ca n't quite distinguish one sci-fi work from another ."
8100,1,"Witless , pointless , tasteless and idiotic ."
392,0,"Not only are the film 's Sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were ."
3745,0,"The slapstick is labored , and the bigger setpieces flat ."
6715,1,It hates its characters .
7590,4,"The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement ."
11413,3,"The fascination comes in the power of the Huston performance , which seems so larger than life and yet so fragile , and in the way the Ivan character accepts the news of his illness so quickly but still finds himself unable to react ."
3666,1,"Potty-mouthed enough for PG-13 , yet not as hilariously raunchy as South Park , this strangely schizo cartoon seems suited neither to kids or adults ."
2729,4,"A stirring , funny and finally transporting re-imagining of Beauty and the Beast and 1930s horror films"
1786,4,"-LRB- A -RRB- thoughtful , visually graceful work ."
2551,2,For single digits kidlets Stuart Little 2 is still a no brainer .
2117,3,If you open yourself up to Mr. Reggio 's theory of this imagery as the movie 's set ... it can impart an almost visceral sense of dislocation and change .
7132,3,Malcolm McDowell is cool .
8887,1,The verdict : Two bodies and hardly a laugh between them .
1570,3,But it 's defiantly and delightfully against the grain .
7070,2,"A direct-to-void release , heading nowhere ."
1522,3,Tres Greek writer and star Nia Vardalos has crafted here a worldly-wise and very funny script .
7870,2,A well-acted movie that simply does n't gel .
3884,2,There is more than one joke about putting the toilet seat down .
4707,0,turns a potentially interesting idea into an excruciating film school experience that plays better only for the film 's publicists or for people who take as many drugs as the film 's characters
3751,1,More dutiful than enchanting ... terribly episodic and lacking the spark of imagination that might have made it an exhilarating treat .
1166,3,The auteur 's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug .
1111,4,"a confident , richly acted , emotionally devastating piece of work and 2002 's first great film"
10844,1,"Unless there are zoning ordinances to protect your community from the dullest science fiction , Impostor is opening today at a theater near you ."
9816,4,A film in a class with Spike Lee 's masterful Do The Right Thing .
5322,3,Those who trek to the ` plex predisposed to like it probably will enjoy themselves .
3560,4,"Fontaine 's direction , especially her agreeably startling use of close-ups and her grace with a moving camera , creates sheerly cinematic appeal ."
10465,4,"Be prepared to cling to the edge of your seat , tense with suspense ."
3910,4,"It 's refreshing that someone understands the need for the bad boy ; Diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly ."
4274,0,"Confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve ."
318,4,"With each of her three protagonists , Miller eloquently captures the moment when a woman 's life , out of a deep-seated , emotional need , is about to turn onto a different path ."
757,4,"It 's soulful and unslick , and that 's apparently just what -LRB- Aniston -RRB- has always needed to grow into a movie career ."
1385,1,"In between all the emotional seesawing , it 's hard to figure the depth of these two literary figures , and even the times in which they lived ."
1410,3,"Visually fascinating ... an often intense character study about fathers and sons , loyalty and duty ."
9579,3,This is a shrewd and effective film from a director who understands how to create and sustain a mood .
7145,4,"A breathtaking adventure for all ages , Spirit tells its poignant and uplifting story in a stunning fusion of music and images ."
2847,2,Each scene wreaks of routine ; the film never manages to generate a single threat of suspense .
4610,3,"Thirteen Conversations About One Thing lays out a narrative puzzle that interweaves individual stories , and , like a Mobius strip , elliptically loops back to where it began ."
3345,3,"A fine effort , an interesting topic , some intriguing characters and a sad ending ."
5737,4,"It 's funny , touching , dramatically forceful , and beautifully shot ."
5076,4,"Handled correctly , Wilde 's play is a masterpiece of elegant wit and artifice ."
1143,2,It 's a boom-box of a movie that might have been titled ` The Loud and the Ludicrous ' ... the pandering to a moviegoing audience dominated by young males is all too calculated .
2352,1,"Not only is it hokey , manipulative and as bland as Wonder Bread dipped in milk , but it also does the absolute last thing we need Hollywood doing to us : It preaches ."
1021,1,The modern-day characters are nowhere near as vivid as the 19th-century ones .
2958,0,An extremely unpleasant film .
5705,3,A giddy and provocative sexual romp that has something to say .
7876,2,Your appreciation of it will depend on what experiences you bring to it and what associations you choose to make .
3413,2,"is clever enough , though thin writing proves its undoing ."
2231,1,Full of the kind of obnoxious chitchat that only self-aware neurotics engage in .
7235,1,See Clockstoppers if you have nothing better to do with 94 minutes .
1557,2,The Lady and the Duke is Eric Rohmer 's economical antidote to the bloated costume drama
5924,2,"Funny , though ."
181,2,Or else a doggie winks .
1884,3,` Alice 's adventure through the looking glass and into zombie-land ' is filled with strange and wonderful creatures .
9543,4,"Swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds ."
8383,1,A movie that ca n't get sufficient distance from Leroy 's delusions to escape their maudlin influence .
5916,1,An awkwardly contrived exercise in magic realism .
11038,0,"It 's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain ."
147,2,"Boy oh boy , it 's a howler ."
11485,3,A solidly entertaining little film .
3965,0,"This movie , a certain scene in particular , brought me uncomfortably close to losing my lunch ."
712,3,Fessenden 's narrative is just as much about the ownership and redefinition of myth as it is about a domestic unit finding their way to joy .
428,3,"A deft , delightful mix of sulky teen drama and overcoming-obstacles sports-movie triumph ."
6986,3,Like the chilled breath of oral storytelling frozen onto film .
2200,4,"Like all great films about a life you never knew existed , it offers much to absorb and even more to think about after the final frame ."
4217,3,"It 's a quirky , off-beat project ."
4387,3,Robert Harmon 's less-is-more approach delivers real bump-in - the-night chills -- his greatest triumph is keeping the creepy crawlies hidden in the film 's thick shadows .
9953,1,But how it washed out despite all of that is the project 's prime mystery .
2664,0,"After Collateral Damage , you might imagine that most every aggrieved father cliché has been unturned ."
3905,2,"... only Bond can save us from the latest eccentric , super-wealthy megalomaniac bent on world domination and destruction ."
3001,2,A preposterously melodramatic paean to gang-member teens in Brooklyn circa 1958 .
6237,1,"If you 've got a house full of tots -- do n't worry , this will be on video long before they grow up and you can wait till then ."
6556,4,"-LRB- Fiji diver Rusi Vulakoro and the married couple Howard and Michelle Hall -RRB- show us the world they love and make us love it , too ."
5280,4,A comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis .
4405,1,"It 's so crammed with scenes and vistas and pretty moments that it 's left a few crucial things out , like character development and coherence ."
10980,2,Barrels along at the start before becoming mired in sentimentality .
7765,3,"If -LRB- Jaglom 's -RRB- latest effort is not the director at his most sparkling , some of its repartee is still worth hearing ."
6978,1,Friday After Next is the kind of film that could only be made by African-Americans because of its broad racial insensitivity towards African-Americans .
4622,1,"An admitted egomaniac , Evans is no Hollywood villain , and yet this grating showcase almost makes you wish he 'd gone the way of Don Simpson ."
7841,3,The difference is that I truly enjoyed most of Mostly Martha while I ne
326,0,"Comes across as a relic from a bygone era , and its convolutions ... feel silly rather than plausible ."
2628,3,An off-beat and fanciful film about the human need for monsters to blame for all that is amiss in the world .
5741,3,A three-hour cinema master class .
9470,3,... an adorably whimsical comedy that deserves more than a passing twinkle .
4523,2,A biopic about Crane 's life in the classic tradition but evolves into what has become of us all in the era of video .
231,1,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness ."
6121,3,"This is a visually stunning rumination on love , memory , history and the war between art and commerce ."
2572,1,The movie 's downfall is to substitute plot for personality .
815,1,The only surprise is that heavyweights Joel Silver and Robert Zemeckis agreed to produce this ; I assume the director has pictures of them cavorting in ladies ' underwear .
3954,1,"Trying to figure out the rules of the Country Bear universe -- when are bears bears and when are they like humans , only hairier -- would tax Einstein 's brain ."
595,3,A wild ride of a movie that keeps throwing fastballs .
3814,1,"Richard Pryor mined his personal horrors and came up with a treasure chest of material , but Lawrence gives us mostly fool 's gold ."
10567,3,Here is a VH1 Behind the Music special that has something a little more special behind it : music that did n't sell many records but helped change a nation .
5313,3,"It is about irrational , unexplainable life and it seems so real because it does not attempt to filter out the complexity ."
2648,2,It must be in the genes .
4721,3,Sayles has an eye for the ways people of different ethnicities talk to and about others outside the group .
2733,0,"This is surely one of the most frantic , virulent and foul-natured Christmas season pics ever delivered by a Hollywood studio ."
3999,3,"Saddled with an unwieldy cast of characters and angles , but the payoff is powerful and revelatory ."
8212,3,Featherweight romantic comedy has a few nice twists in a standard plot and the charisma of Hugh Grant and Sandra Bullock .
8565,1,"The gifted Crudup has the perfect face to play a handsome blank yearning to find himself , and his cipherlike personality and bad behavior would play fine if the movie knew what to do with him ."
1063,2,Courtney CHASES Stuart with a CELL PHONE .
6040,3,"If Mostly Martha is mostly unsurprising , it 's still a sweet , even delectable diversion ."
9129,3,A diverse and astonishingly articulate cast of Palestinian and Israeli children .
7454,3,Rarely does such high-profile talent serve such literate material .
7063,1,"This would have been better than the fiction it has concocted , and there still could have been room for the war scenes ."
5236,0,Like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .
3677,3,"While we no longer possess the lack-of-attention span that we did at seventeen , we had no trouble sitting for Blade II ."
1625,0,"The director , with his fake backdrops and stately pacing , never settles on a consistent tone ."
6118,0,"Several uninteresting , unlikeable people do bad things to and with each other in `` Unfaithful . ''"
9108,4,A marvel of production design .
9210,0,"A summary of the plot does n't quite do justice to the awfulness of the movie , for that comes through all too painfully in the execution ."
11442,1,"For a film about action , Ultimate X is the gabbiest giant-screen movie ever , bogging down in a barrage of hype ."
1802,0,Suffers from over-familiarity since hit-hungry British filmmakers have strip-mined the Monty formula mercilessly since 1997 .
3150,2,Cube 's charisma and chemistry compensate for corniness and cliche .
2554,0,"Lazy , miserable and smug ."
67,0,And it 's harder still to believe that anyone in his right mind would want to see the it .
1814,1,"Even with its $ 50-million US budget , Pinocchio never quite achieves the feel of a fanciful motion picture ."
9769,0,"The predominantly amateur cast is painful to watch , so stilted and unconvincing are the performances ."
1423,0,Not even Felinni would know what to make of this Italian freakshow .
9676,1,Everyone 's to blame here .
5040,3,This story still seems timely and important .
9623,3,"She nearly glows with enthusiasm , sensuality and a conniving wit ."
9621,1,"Theological matters aside , the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues ."
6226,3,He watches them as they float within the seas of their personalities .
941,3,"When the movie mixes the cornpone and the Cosa Nostra , it finds a nice rhythm ."
10702,1,"Gooding and Coburn are both Oscar winners , a fact which , as you watch them clumsily mugging their way through Snow Dogs , seems inconceivable ."
5590,1,"The connected stories of Breitbart and Hanussen are actually fascinating , but the filmmaking in Invincible is such that the movie does not do them justice ."
2380,0,"It is dark , brooding and slow , and takes its central idea way too seriously ."
431,3,Tsai convincingly paints a specifically urban sense of disassociation here .
5442,1,Too bad Kramer could n't make a guest appearance to liven things up .
11372,4,Provides a very moving and revelatory footnote to the Holocaust .
7906,4,Exciting documentary .
665,1,"Wanders all over the map thematically and stylistically , and borrows heavily from Lynch , Jeunet , and von Trier while failing to find a spark of its own ."
3139,2,"Watching E.T now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision ."
7048,2,"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but ."
5106,2,"At its worst the screenplay is callow , but at its best it is a young artist 's thoughtful consideration of fatherhood ."
2541,1,Fairly run-of-the-mill .
4629,2,Abderrahmane Sissako 's Heremakono -LRB- Waiting for Happiness -RRB- is an elegiac portrait of a transit city on the West African coast struggling against foreign influences .
11054,3,Jonathan Parker 's Bartleby should have been the be-all-end-all of the modern-office anomie films .
5163,4,"with its subject matter in a tasteful , intelligent manner"
7194,4,"A gracious , eloquent film that by its end offers a ray of hope to the refugees able to look ahead and resist living in a past forever lost ."
7663,3,"A coming-of-age tale from New Zealand whose boozy , languid air is balanced by a rich visual clarity and deeply felt performances across the board ."
2758,3,"The attraction between these two marginal characters is complex from the start -- and , refreshingly , stays that way ."
8342,4,"It 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage ."
3376,1,"It 's about as convincing as any other Arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic ."
3491,1,"Helmer Hudlin tries to make a hip comedy , but his dependence on slapstick defeats the possibility of creating a more darkly edged tome ."
484,3,It uses some of the figures from the real-life story to portray themselves in the film .
5469,1,"The movie 's something-borrowed construction feels less the product of loving , well integrated homage and more like a mere excuse for the wan , thinly sketched story ."
7863,3,"A sense of real magic , perhaps ."
6093,3,Moonlight Mile gives itself the freedom to feel contradictory things .
5066,1,"Vaguely interesting , but it 's just too too much ."
4612,1,The film 's thoroughly recycled plot and tiresome jokes ... drag the movie down .
808,2,"The movie certainly has its share of clever moments and biting dialogue , but there 's just not much lurking below its abstract surface ."
11052,3,Norton is magnetic as Graham .
1699,4,Leigh is one of the rare directors who feels acting is the heart and soul of cinema .
7457,1,"While the ensemble player who gained notice in Guy Ritchie 's Lock , Stock and Two Smoking Barrels and Snatch has the bod , he 's unlikely to become a household name on the basis of his first starring vehicle ."
6561,3,The viewer takes great pleasure in watching the resourceful Molly stay a step ahead of her pursuers .
7099,3,A film that 's flawed and brilliant in equal measure .
2646,1,The screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a `` Dungeons and Dragons '' fantasy with modern military weaponry ...
3358,1,"A tired , unimaginative and derivative variation of that already-shallow genre ."
3508,0,"Clumsy , obvious , preposterous , the movie will likely set the cause of woman warriors back decades ."
4425,3,My Wife Is an Actress works as well as it does because -LRB- the leads -RRB- are such a companionable couple .
