Id,Category,Sentence
60,0,"Then, in the most predictable of plot sequences, you swear you'll have seen it all, even if you're never within a mile of the Highest Court."
61,3,"Birthday Girl revolves around Chaplin and Kidman, who are able to develop a certain movie-star charisma when they need it, as it does not just to sell the love story, but also to negotiate the film's darker twists and turns."
62,1,In light of Baird's earlier film editing the film is a bit of a bumpy ride.
63,3,"In the first five minutes, there is talk of ""to the end of the year""!"
64,0,This film mess is quite a travesty of a transvestite comedy.
65,2,It's exactly what you'd expect.
66,1,"-LRB - Stevens is intrigued by - RRB- making an important film about human infidelity and chance, throwing a kitchen sink into a story that is already loaded with plot details."
67,0,And it's increasingly difficult to believe anyone in their right mind would have been doing that.
68,2,"Although it never develops its full potential as a film, it nonetheless provides a wealth of insights into femininity and the timeless danger of suppressing emotion."
69,1,"The filmmakers play the grand figures in New York and L.A. to this end, and for that reason they ridiculed the types of people they don't understand, or understand better in centres of power."
70,2,This harrowing journey to the afterlife convincingly captures the chaotic madness and personal tragedies that all too often exist when property-hatred spreads uncontrollably.
71,1,You leave the room as if you had endured a long workout without your pulse ever racing.
72,2,"The smash 'em - up, crash' em - up, shoot 'em - up end comes from nowhere, bringing chaos into a state of tension."
73,3,I still love Moonlight Mile. Better judgement be damned.
74,3,has more than its fair share of cheeky hilarity.
75,4,"Like a skillful fisherman, the director reels in the audience with his last act, because its moving effect leaves us completely intoxicated."
76,2,The camera turns!
77,1,"Cassavetes thinks he's doing Dog Day Afternoon for a good cause, but everything he talks about is reduced to a strident and didactic caricature."
78,0,"As aimless as an old pickup truck that gets completely out of hand on a long piece of black ice, you feel like you're four hours away in two hours."
79,2,The same person in both hats.
80,1,"The film never rises above a conventional, two-dimensional story"
81,1,"< k > Freaky Friday, '' it's not."
82,0,Skip the hubbub and focus on picking your nose as you'll no doubt be using the latter experience to your advantage.
83,2,"Like so many silent movies, newsreels and the like, Dekasia changed the world."
84,0,"This awkward, cliched and clunky romantic comedy attracts controversy for no better reason than, according to its script, that it squanderes the charms of porn stars Hugh Grant and Sandra Bullock."
85,3,Scott Baio is shooting his sexy work on indie projects.
86,3,"Wiseman is patient and uncompromising, using his camera to watch and document the lives of women torn apart by a legacy of abuse."
87,3,"An unusual dry, even analytic approach to material usually played for maximum moisture."
88,4,"A lively, colorful semimusical rendition."
89,3,Your kids will be busy for 72 minutes.
90,3,A sensitive and intelligent first feature film by Anne-Sophie Birot.
91,3,The obnoxious title character lends the documentary the drama it deserves.
92,3,"A meticulously assembled, annoyingly good film, ticking off all sorts of stages of Kahlo's life with the dutiful precision of a tax adviser."
93,0,"The film almost completely lacks the tension, surprise and consistent emotional conviction."
94,3,"A mostly believable, refreshingly intimate and quietly inspiring small sports drama."
95,2,"The film is explosive, but some of these sticks are wet."
96,2,"On a certain basic level, Blue Crush keeps what it promises, but just isn't good enough to recommend it."
97,2,"When you revive a dead person, hard copy should come out, right?!"
98,3,"It's an edgy, sentimental dramedy that satisfies the way comfort food often satisfies."
99,1,"The obscurantiest and funniest excuse for a movie, as you might imagine."
100,4,Diggs and Lathan are one of the main reasons Brown Sugar is so sweet and sexy.
101,4,... a delicious crime drama on par with the flattest Mamet.
102,3,"Derrida is almost useless as an introduction to man's theories and influences; as a portrait of the artist as an endlessly inquisitive old age, it is already of great value."
103,2,"Venezuelans say things like ""si"" or ""pro pro pro plus"" when they talk to the Americans."
104,2,It is the kind of trick that the Academy loves: a strong political message stuffed into an otherwise mediocre film.
105,4,One of the best and most entertaining performances of the -LRB-career.
106,2,"It may sound like a mere illness movie, but A Song For Martin is all the more captivating with the performances of the real husbands Seldahl and Wollter."
107,3,A quietly moving look back at what he achieved in 1979.
108,4,"A shimmering and beautiful coming-of-age portrait, shot in artfully watery blues, greens and browns."
109,3,"By turns hilarious and sad, pushy and soulful, devastating and joyful."
110,1,It's a pity this sympathetic film is not more finished.
111,2,"None of this has the regularity or classical familiarity of Bond, but much of it is good for laughter."
112,3,"A breathtakingly strange film, which is profoundly concerned with morality, but which refuses to tighten its grip on viewers."
113,4,Admirers of director Abel Ferrara are relieved that his latest feature R Xmas marks a modest but encouraging return to form.
114,0,"Once the expectation of a laugh has been betrayed by obscenity, even the funniest idea is no longer funny."
115,0,... this is not even a film we can enjoy as mild escapism; it's a film that challenges fear and frustration at an uneven level.
116,1,"Proresolve turns out to be a lovely little thing, which, unfortunately, is also a little too enamored with its own cuteness."
117,3,"The filmmakers attempt to strike a balance between trenchant, often succinct, satire and undisguised beauty, with results that are sometimes mesmerizing, sometimes stunning, often and unexpectedly touching."
118,1,"The screenplay covers grand, drasaucy themes in a bland and superficial way, offering no insight into why bad things happen to bad people, for example."
119,1,"Sometimes a film emerges that is so foolishly stupid, so horrendously serious, that you get dizzy when you see it."
120,3,"Holofceners ""film doesn't zwanzig at all - but makes it as clear that you don't have a mayfly and the cast's commitment is so prehensible that you don't retreat too often."
121,4,Outstanding shot and staged by Mendes with a range of stirring set pieces rarely seen by mainstream audiences.
122,2,"In trying to be bold and original, it only comes across occasionally satirical and never fresh."
123,3,The giggling about absurdities and contradictions are part of the fun.
124,3,Magical L / RB- and Original Term of MCA of Spirited Away (Spirited Away) Ace Hayao Miyazaki has survived unchanged in BV's newly-soundtrack.
125,4,"An emotional documentary about the Israeli / Palestinian conflict, as it unfolds through the eyes of a number of children who are curious about one another against all expectations."
126,3,Makes one thing abundantly clear.
127,1,"Parents beware, this is downright penal for a film."
128,0,"... the story is wide-ranging, illogical and downright stupid."
129,2,It is difficult for a long-time admirer of his work not to feel the air of invincibility and to overlook its disadvantages.
130,0,But that would only put you to sleep.
131,1,"It has more in common with fireworks than a movie, which usually has characters and a plot."
132,1,"Adrift, Bentley and Hudson stare rather sniffily, while Ledger vainly attempts to prove that the movie star's intensity can overcome bad hair styling."
133,1,"We Anhänger see Matteis undermining himself here as nothing more than a compact tightrope of brooding characters, overcome by the hand of stick character camp - a sleepy drama infatuated by his own pretentious self-examination."
134,2,"The same song, second verse, could have been better, but it could have been worse."
135,1,"Fincher has no obvious delight in making movies, and he gives none to audiences."
136,3,"He has an amazing voice - LRB- except for Love Hewitt-RRBD, a lot of interesting racial tension and a story I haven't seen since ""Pete ざ."""
137,4,Brutally honest and told with humour and haunting empathy which echoes her message.
138,2,"A love story of a different kind - a dark, upsetting, painful but gripping show."
139,3,Roman Polanski's autobiographical gesture of redemption is better than Shindler's List - it's more than a Holocaust film.
140,2,Has the potential for a better performance than what Bailly is delivering
141,3,"World Travelers may not tell you where to go for a new trip or to any special place, but it is certainly an honorable attempt to make a difference."
142,4,"Kenyan pleasure, a lovely, witty, highly stirring romantic comedy with leading jazz music... Grant and Oxwork make it seem they're having so much fun."
143,2,The film has a childlike quality.
144,1,"They are the unnamed and easily replaceable forces which serve as the horror, which the heroes in the horror movies try to avoid."
145,3,Scorsese's courage and integrity in pursuing this vision should not be underestimated.
146,2,"Oh, what the hell."
147,2,"Boy, oh boy, howling."
148,4,"An unsettling, memorable cinematic experience that makes his predecessors proud."
149,2,Veterans of the dating wars will only smile wearily at the horror versions of the movie's everyday Sex in the City mishap.
150,1,"These metaphors are provocative, but too often, the viewer is left baffled by the mechanics of the presentation."
151,3,"It's a diverting film, and the effects, which grew to the size of a downtown hotel, will almost take you into outer space."
152,0,"It's a laughable - or rather, an inexcusable - excuse for making a film."
153,3,"Jacquot has filmed the opera as intended in Court 27 libretto, and captured the drama and poetry of opera in its best sense."
154,3,"Spirit aquarium: Colt of the Cimarron, a good old adventure for kids, is a winner."
155,1,"A Bauhaus film, where the story amidst the whirlwind of colours and inexplicable events is almost a side-effect."
156,4,"So those who recognise a shoe of avant-garde humour should take pleasure in the film 's lunatic, joyful tone."
157,4,"Perfectly placed between comedy and tragedy, hope and despair, About Schmidt is closer than many of us to their lifestyles - somewhere between consumerism and a persistent demand for otherness."
158,3,"Far From Heaven is a marvellous conceptual masterpiece, but it's also a gripping drama."
159,3,"Functs as an exposing perspective on the common process and simultaneously as a timely, winking profile of the sound circus in the record industry in the current climate of mergers and personnel reductions."
160,3,"Youth are appropriately served by the second mix of slapstick and black, even if the more lascivious mind figures might be disappointed at the relative modesty of a film showing topless."
161,3,A delicious appetizer that makes you want more.
162,2,"So obsessed is the Sundance Film Festival that every January, fans and producers descend upon Utah to see ""The Next Great Thing."""
163,4,"Like lipstick shadings, they make for a great story with lots of lashes."
164,1,"The film has its -LRB-, its -RRB- moments, but these are rare and far away."
165,4,"A sensitive, cultivated treatment of Greene's work, but also remarkably faithful."
166,1,Trying to write the story upside down in the hip hop indie snipes is enough to weigh on the brain - yet the impact is negligible.
167,0,"-LRB- Less a film than -RRB- a disgusting, fragrant thing... so bewitched in almost every facet of the production that you seek to embarrass yourself."
168,0,Dark boring sci-fi comedy.
169,1,"Just because A Walk to Remember is clever enough to activate girlish lavatories, that doesn't mean danach it's good enough for our girls."
170,1,"If I want music, I buy the soundtrack."
171,2,You could put him anywhere on a coffee table.
172,3,Reno itself has jumped the shark to the top of the film charts.
173,0,I'm not sure what will take longer to heal: the wound on Johnny Knoxville's stomach from a riot control project or my own tortured psyche.
174,2,"Apart from playing, or as an original dark joke, one wonders what anyone saw in the movie that made it happen."
175,1,The romance between the leads isn't as convincing or even believable as it should be.
176,3,Succeeds without a huge story to inspire.
177,4,Easy to see and - above all - listen to.
178,0,He urgently attempted and unsuccessfully to unite at least three boring plots into a good one.
179,3,That's why Sex and the City is so enticing.
180,2,"Towards the end of Allen's execution the documentary vividly portrays Vincent's friendship with the ever-weary investigator of justice, David Presson."
181,2,Or a dog winks.
182,1,This 100-minute film contains only about 25 minutes of suitable material.
183,3,"Gooding is the energetic frontman, and it's hard to sustain his enthusiasm, even when the filmmakers can't think of anything original, such as slapstick sequences."
184,2,... a preachy parable stylized with a touch of John Woo Bullet ballet.
185,2,"Massoud's story, Aleppo, is an epic but a tragedy, a testimony by a determined, humane fighter who was a prisoner - and victim - of history at the same time."
186,2,It does not seem to reach the heart of the whole story.
187,1,This could be the first cartoon ever to look like it's being shown on a screen at a sports bar.
188,2,"Shadyac, who is among the band of the reprobate committing an act of God, downplays every ghost trick from The Sixth Sense to The Mothman."
189,0,The movie really has it in it.
190,1,You may have to look further than your own caddyshack.
191,3,So hilarious you sturm wont notice this: It's quite a straightforward remake of Hollywood comedies like The Father of the Bride.
192,4,"Smart, cheeky interpretation of the Oscar Wilde play."
193,0,"It may well happen that, before I recognize this piece of crap, people have discovered the secrets of time travel, dismissed it as a boring thing while enjoying it."
194,0,It's almost invisible.
195,0,"Given that practically no one has to go to the theatre for it, the project has to have been packed off to the tube."
196,3,"Screenwriter / director Burr Steers emphasizes the Q in Quirky, with mixed results."
197,1,But no.
198,3,That is a vision.
199,3,"The real star of this film is the music, like the songs which are very good to film and it is really well directed."
200,1,A potentially good comic-book series and an excellent cast are terribly wasted.
201,2,Maelstrom is a deliberately irregular mixture of style elements.
202,1,"The movie has an excellent cast < a href > A'list and a few strong supporting characters, but it's difficult to love the story, like its main character, Vivi."
203,2,A bunch of typical perpetual end-of-a-thing stuff
204,4,It's the sort of creepy-scary thriller where you get stuck in the back corner of the screen sometimes because your nerves just don't work.
205,2,"Has all the right elements, but fails completely."
206,0,It is constantly slipping away from its country of origin.
207,2,"He tells his story flat out, leaving the impression that you needed to get more out of him than you did."
208,3,"Skin Of Man has some cheap shocks coming from its risky childhood theatre, but it also heaps itself upon the primordial fears of young people trying to come to terms with the mysterious and brutish nature of adult life."
209,1,"Conveys an eye-catching nuance to the area of art, but one that quickly overforces his limited welcome culture."
210,4,"As an actress, Madonna is among the best singers in the world."
211,1,"At a time when we had to learn the great complexity of international terrorism, collateral damage paints an absurdly simplistic picture."
212,0,"""The Adventures of Pluto Nash"" is the stinker par excellence."
213,2,Go.
214,3,"a bilingual charmer, just like the woman who inspired her"
215,4,A fascinating case study about the liberation of flower power - and the price paid for it.
216,0,"Instead of engaging in laugh-outs, Lawrence unleashes his trademark misogyny, erm, comedy, like a human volcano or an overflowing garbage dump."
217,3,"A vivid, sometimes surreal look at the secrets of human behaviour."
218,2,"The results, if not memorable, are interesting at least."
219,2,Please.
220,0,The performers try their hand but get away too amateurish and clumsy.
221,0,Like so many biographical melodramas this one suffers from the comfort that comes from the attachment to the messiness of reality.
222,1,The humour in I Spy is so anaemic.
223,4,One of the year's most bizarre and unpredictable character pieces.
224,0,A pathetic movie which aims to be sincere and just plain worse.
225,1,As original and insightful as the last episode of Behind the Music.
226,0,... if you order that you spend the last 20 minutes looking at your watch and waiting for Frida to die.
227,2,This English language... does justice to Miyazaki's teeming and often disturbing landscape and the conflicted complexity of his subjects.
228,3,"A quiet family drama, with some romance and a dash of darkness."
229,3,"Old-fashioned, but perfectly satisfying entertainment."
230,0,Absurdities and clichés accumulate like linceremony in the navel of a fat man.
231,1,"Sarah appears to be feeling psychotic rather than romantic, and nothing in the movie convinces that a woman's broken heart was faster than all the loss."
232,2,"Since Eight Legs Freaks pays homage to you, Tarantula and other budget B-movie thrillers of the 1950s and 1960s, the flick is a silly LRB hype and hell, but not exactly the RRB hum."
233,0,"In order to understand better why it was not related to me I needed a different view, and I would not read this expression out again... This alone is sufficient for a comment."
234,4,"A colourful, vivid introduction to a universal human impulse, richly photographed and beautifully captured."
235,0,With the most kitschy monsters on this side of a horror story there is little chance it will generate a quick sleep than feeling fear.
236,2,"It's hard not to get serious about the dramatic crisis in the film, but Huppert's explosive game does make for a riveting cinematic experience."
237,0,"When you have 100 minutes, you're waiting in vain for a movie."
238,3,"Good rather than great, but Freeman and Judd make it work."
239,3,"Takashi Miike keeps up the tempo: Ichi, the killer"
240,3,"Though the programme goes further than just that, anyone who has seen The Hunger or Cat People will see little of the novelty here, but with a mouth-watering performance from Vincent Gall民️, the story of cannibalistic greed rises above the ordinary."
241,1,"The whole film moves from one scene to the other, but in the end it maintains its formula - a waste of De Niro, McDormand and the other good actors in the cast."
242,3,Meyjes' provocative movie can be described as an example of a lack of direction by evil.
243,1,Credibility was not one of the film's virtues.
244,2,The only way to beat that is to not go far enough with the Shakespearean parallels.
245,3,Miller has developed a fascinating tale of maternal instincts and misdirected feelings.
246,1,The length of the broadcast... overwhelms the concept of the broadcast.
247,4,"We admire this film for its harsh objectivity, its refusal to seek our tears, our sympathy."
248,3,This is a sharp movie about otherwise stinky subjects.
249,0,"A muffled, drowsy exercise in arrogance, the rest of which is often broken by outbursts of violence and noise."
250,4,"If you're a fan of the series, you'll enjoy it and probably want to watch it twice."
251,1,... silly humbug...
252,1,The setting is more interesting than any of the character dramas in which satisfying conclusions are never reached.
253,4,"Hugh Grant, who has a good touch of charm, has never been quite as charming as he was in About a Boy."
254,4,Brian Tufano's beautiful widescreen photography and Paul Grabowsky's excellent music transform this somewhat blinkered melodrama into something very special.
255,2,De Niro is crying.
256,2,"The result is depressing rather than liberating, but it's never boring."
257,3,A very good film is hidden where a masterpiece belongs.
258,0,"No fanfare, nothing new, zero thrills, too many flashbacks, and an abrupt end make a bad film."
259,2,"Davis has energy, but she makes no effort to make her heroine's book sound convincing, the ideas underlying the gender war, or the comic scenes flying."
260,2,"Many shallow movies these days are overrated, but this one is shockingly short."
261,3,Nicholson is owned by Schmidt.
262,3,A film of quiet power.
263,3,And another cool crime thriller that really manages to put something new in the mix.
264,4,A smartly crafted -LRB-and beautifully crafted -RRB-that includes at least a spark of life -- more than can be said for any amount of movies safely hunted through Hollywood's pipeline.
265,3,"Apart from the disappointing ending, there's much to commend the film."
266,1,"An obvious copy of one of the best movies ever shot, how could it be otherwise?"
267,3,This film made me smile.
268,2,Bacon keeps things interesting but you don't do everything to pay the full price.
269,3,"Well, you may not be swinging from the tree so proudly, but it is worth a look."
270,3,"Famuyiwa's feature investigates the themes in a tasteful and intelligent way, instead of forcing us to endure any plot flaws the clichéd genre has to offer."
271,4,Surprisingly powerful and universal.
272,3,... an interesting piece of history.
273,3,"No film was worse than Breaking Out, and Breaking Out was utterly charming."
274,0,"Madonna has indulged so many times now, there doesn't seem to be much she could grapple with any more, as is the case with Michael Jackson."
275,3,Absurd but director Carl Franklin gives enough punchy theatre and cunning to make it seem entertaining.
276,3,There is unlikely to be a better thriller this time of year.
277,4,Cuarón created -RRB-a content-specific movie out of several non-clichéd film structures: The road movie as well as the coming-of-age movie and teen-sex comedy.
278,4,"It's an intelligent, solid back-story flicker that deserves a few hours of daylight saving time and a bucket of popcorn."
279,4,"It's a lively ride with breathtaking action sequences, bewildering villains, an amazing range of colours, amazing technology, stirring music and a final hour's acting boffo that leads to a strangely sinister happy end."
280,1,Decent but boring.
281,2,But paying the price for a matinee and buying a big tub of popcorn is daft.
282,1,What was intended as a painless time killer is turning into a crackling endurance test.
283,2,"Well-played and all or nothing well meant, the film comes dangerously close to a calm, pessimistic feeling that is too rigid for its own good."
284,1,A pitifully witty and unimaginative cross between dd and Vertical Limit.
285,0,You see the film and think: zzzzzzzzz.
286,1,"It's easier to sit out than most of Jaguel's bold and thankfully irritating films, but they're still full of cliches, painful improbability, and dark points."
287,1,"Such a wildly uneven employer-based enterprise, which is very difficult to understand, suggests that it was improvised during production day after day."
288,4,Piccoli offers a terrific performance full of deep emotion.
289,4,"Ramsay (LRB) visually transforms the sombre stretch of the impasse where the characters live in a poem of art, music, and metaphor."
290,1,An unadorned advertisement for youthful anomie that never quite reaches the sum of its claims.
291,2,"It comes with a flawless pedigree, rags-to-riches pep and near-impossible plot twists."
292,1,A portrait of alienation so perfect it is sure to alienate most viewers.
293,0,I approached the ushers and said if she sat again she should ask for an elevation.
294,0,Gilded with a lurid B-movie scum.
295,1,I can't say enough: the film is about a grown man in a pink jacket.
296,1,"... the whole thing is a feeling of abating, surface climate."
297,1,... a rather bland affair.
298,3,"""'Brafic Sugar' is perfectly aiming to be more than just another 'Best Man' clone, weaving a theme into this hilarious movie."
299,1,The film isn't as terrible as the synergistic impulse generated by it.
300,4,"If the initial aim of a horror movie is to spread fear and horror, they work spectacularly well..."
301,1,It is an imponderably stilted and confidently artistic film.
302,0,Cooling without chills.
303,3,A comedy that changes and pushes itself to the rhythm of life.
304,0,A yawning farmyard melodrama.
305,2,It's time to let your hair down - in Greek style.
306,4,'Simone 'is a witty and funky look at an artificial creation in a world that thrives on artifice.
307,3,"Use -LRBvelocity headbanner -RRB- stereotypes without problem, adding some heart and unsettling content."
308,0,"We rather wondered whether... some unpaid intern had just repurposed ""Chris Rock,"" ""Anthony Hopkins"" and ""Terrorists"" into some Univac-type scripting machine."
309,3,A charmer from Belgium.
310,2,"The directors John Musker and Ron Clements, the team behind The Little Mermaid, have produced pearling sweets on the retina but fail to have much emotional resonance in the cold vacuum of space."
311,1,My advice is to skip the movie and pick up the soundtrack.
312,3,K 19 stays afloat as a proper action flick
313,1,"As if Drop Dead Gorgeous weren't enough, this mocking clone is fixated on the spectacle of small-town competition."
314,0,What more can be expected from a college tragedy whose target group does not complete high school?
315,4,That's good.
316,3,The film grows on one.
317,0,"Please, somebody, stop Eric Schaeffer before he makes another movie."
318,4,"With every one of her three protagonists, Miller eloquently captures the moment when a woman's life threatens to turn to a different path due to a deep-seated emotional need."
319,1,"Although this brutal and crude film causes some stomach-churning laughs, its attempts to attack modern society are the least of it."
320,4,This is a great B-movie - actually the best in recent years.
321,2,Gone are the extravagant mannerisms that are the hallmark of many of his performances.
322,3,Take any twelve-year-old boy to see this picture and he will be your slave for a year.
324,4,Bogdanovich delves deep into Hearst mysticism and recreates an historical scandal in an entertaining way.
325,3,"The drama of temptation, salvation and good intentions is a careful investigation of faith, love and power."
326,0,Sounds like a relic from bygone times and its entanglements... feel silly rather than plausible.
327,1,"Like Schindler's List, the Grey Zone tries its best to be grand but ends up looking a little prejudiced - cruelly."
328,1,"Cherry Orchard is badly cut, often subtly staged, and has a wholly unnecessary opening sequence to confront some of the characters with a back story."
329,1,"The screenplay by James Eric, James Horton and director Peter O'Fallon.... is so sauerkraut that your teeth ache."
330,4,A brutal and funny work.
331,2,It depends on how good flatulence fits into the holiday concept.
332,0,"An ugly, pointless, stupid film."
333,4,Greg Kinnear is convincing as a grown-up sex addict who completely denies his obsessive behavior.
334,2,"Lohman adapts to the change demanded, but actress and director Peter Kosminsky is never going to break a wall her character builds"
335,1,"This is a sluggish and limp comedy; the sort I've been seeing for quite a while, a swerve through worn footage."
336,0,-LRB- L -RRB- Rare and unnecessary.
337,4,"Well cast and well directed, a powerful drama with enough sardonic wit to avoid a witch-hunt."
338,3,Take the sequel.
339,2,"Schnitzler's film has a great hook, some clever groats and some well-crafted, if standard, characters, but it only partly satisfies."
340,0,"MIB II is a movie that allows the audience to get a few minutes of doze, to make several trips to the concert booth and / or toilet, but not feel that he missed anything."
341,3,"Those who make a mistake do not have to report, and those who are susceptible to mockery rise straight up."
342,4,An enormously canny and subtle film that captures the precarious balance between the extravagant self-confidence of an exile aristocracy and the fierce seriousness of the victorious revolutionaries.
343,2,"Jones helps breathe some life into the inconsequential plot, but he, too, is unsurpassed in his predictability."
344,3,"Ramsay first and foremost succeeds in her typical mix of unsettling atmospheres, delivering a series of chastening, stylized sequences that burn their minds."
345,2,"In addition to its remarkable accomplishment, Metropolivegetables confirmed Tezuka's status as the main visual influence on the anime tradition and its decisive philosophical conscience."
346,0,Kung Pow may seem a tad like a pointless arrested brew hastily created after Oedekerk and his fellow filmmakers survived the crash area of a college party.
347,1,"Clever, but pointless."
348,3,"Kramer is fascinating to me because I'm utterly on my own... It's like punk rock music used to be and the video footage is more accessible: mind, perception, conviction."
349,3,An overwhelming rape-wrecked horror show that's the most knowledgeable victim in the entire industry... and an explosive love of industrial meaty novels.
350,0,I hate the feeling I was slimmed down in the name of top art.
351,1,One gets the impression that writer-director Burr Steers knows the country... but his sense of humor has not yet lost the smug tentativeness that usually comes with the better private schools.
352,4,A low fine and a truly distinctive and deeply fitting film.
353,3,It succeeds where its most recent predecessor failed miserably by requiring both sides to endure the most appalling aspects of a war.
354,3,Viva le Resistance!
355,3,A surprisingly solid performance from director Malcolm D. Lee and writer John Ridley.
356,4,One of the best silly horror films of recent times with some real shocks for poor viewers.
357,0,"Loud, silly, stupid and pointless."
358,3,"A sweet, tender sermon about a 12-year-old Welsh boy who is more curious about God than girls, who learns how important it is to believe in something."
359,2,The stomach for heaven depends largely on canned corn.
360,3,"Rock solid family fun at the gates, extremely phantastically shuffle through, but slackens in the middle"
361,3,"Much more dimensional and complex than his sunny nature, one might think."
362,2,"If a few good men said that we couldn't deal with the truth, ""the high crime index states poetic at one point in this film that we don't care about the truth."""
363,4,"Schepisi, who has a cast that includes every first-rate British actor who didn't appear in Gosford Park (LRB) and one who did, Ms Mirren, has exceeded all expectations."
364,0,"If you don't know that something went horribly wrong, that's nothing."
365,3,Modest but with really solid performances from Ving Rhames and Wesley Snipes.
366,1,"Barney's ideas about creation and identity are not completely mundane, at least not any approximations as to what we can make out of this three-hour endurance test over an hour of material."
367,1,帷This is not a simple film.
368,2,"... the only thing this savage film has, other Imax films don't have: chimpanzees, many chimps who break down the frame of a house."
369,3,"Fessenden has cared for his metaphors at the expense of his narrative style, but he ziel an original talent."
370,0,"The sweet thing is specifically for idiots, who don't care about shoveling household fluids into their spiritual gullet to feed them."
371,2,The comedy makes social commentary more palatable.
372,1,"The sequel plays like a flimsy excuse to give Blade fans another look at Wesley Snipes' iconic hero, who is waging war against dozens of villains - all at once."
373,3,"The Powerpuff Girls movie brought back one anecdote, the Japanese cartoon that made people seize."
374,4,"Nevertheless, he appreciates the arts and reveals a music scene that transcends culture and race."
375,3,Coral Reef Adventure is a powerful TV project to fight for the world's critically endangered reefs - and to take on these images.
