Id,Category,Sentence,b_pred,e_pred,l_pred
2858,2,"Die Another Day is only intermittently entertaining but it 's hard not to be a sucker for its charms , or perhaps it 's just impossible not to feel nostalgia for movies you grew up with .",2,3,2
3,1,"But , like Silence , it 's a movie that gets under your skin .",3,3,1
1508,1,"... while each moment of this broken character study is rich in emotional texture , the journey does n't really go anywhere .",2,2,1
6954,0,The only thing that distinguishes a Randall Wallace film from any other is the fact that there is nothing distinguishing in a Randall Wallace film .,1,1,0
6290,3,"It all plays out ... like a high-end John Hughes comedy , a kind of Elder Bueller 's Time Out .",1,1,3
8888,0,It 's mired in a shabby script that piles layer upon layer of Action Man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of -LRB- Woo 's -RRB- best work .,0,1,0
2305,2,"While Serving Sara does have a long way to go before it reaches the level of crudity in the latest Austin Powers extravaganza , there 's nothing here to match that movie 's intermittent moments of inspiration .",1,1,2
3997,2,an assassin 's greatest hits,2,3,2
2412,0,"A loud , ugly , irritating movie without any of its satirical salvos hitting a discernible target .",0,1,0
2302,4,Isabelle Huppert excels as the enigmatic Mika and Anna Mouglalis is a stunning new young talent in one of Chabrol 's most intense psychological mysteries .,4,3,4
1820,2,"There 's no doubting that this is a highly ambitious and personal project for Egoyan , but it 's also one that , next to his best work , feels clumsy and convoluted .",1,1,2
6632,3,"An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences .",4,4,3
4299,3,"Reign of Fire is hardly the most original fantasy film ever made -- beyond Road Warrior , it owes enormous debts to Aliens and every previous dragon drama -- but that barely makes it any less entertaining .",1,2,3
2979,4,Its engaging simplicity is driven by appealing leads .,3,3,4
4502,0,"Despite the fact that this film was n't as bad as I thought it was going to be , it 's still not a good movie",1,1,0
11092,0,An artsploitation movie with too much exploitation and too little art .,1,1,0
3354,2,"Bisset delivers a game performance , but she is unable to save the movie .",2,1,2
3587,0,"It is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness .",0,1,0
4133,3,"A remarkable movie with an unsatisfying ending , which is just the point .",3,1,3
8951,4,Highly watchable stuff .,4,3,4
9711,1,A non-mystery mystery .,2,2,1
7047,2,Trades run-of-the-mill revulsion for extreme unease .,1,1,2
3748,4,Arteta directs one of the best ensemble casts of the year,4,3,4
830,4,Smart and taut .,4,3,4
6309,2,"Director-chef Gabriele Muccino keeps it fast -- zippy , comin ' at ya -- as if fearing that his film is molto superficiale .",2,3,2
1171,3,A deeply felt and vividly detailed story about newcomers in a strange new world .,4,4,3
8894,4,An excellent sequel .,4,3,4
3988,2,"This is not Chabrol 's best , but even his lesser works outshine the best some directors can offer .",2,3,2
788,3,"A fascinating , unnerving examination of the delusions of one unstable man .",4,4,3
1646,4,"Mostly works because of the universal themes , earnest performances ... and excellent use of music by India 's popular Gulzar and Jagjit Singh .",4,3,4
6029,4,"... very funny , very enjoyable ...",4,3,4
3129,2,I survived .,3,3,2
599,4,"Thanks to confident filmmaking and a pair of fascinating performances , the way to that destination is a really special walk in the woods .",4,3,4
4180,4,Monte Cristo smartly emphasizes the well-wrought story and omits needless chase scenes and swordfights as the revenge unfolds .,3,3,4
217,3,"A vivid , sometimes surreal , glimpse into the mysteries of human behavior .",3,4,3
4743,4,... wise and elegiac ...,3,3,4
45,2,Strident and inelegant in its ` message-movie ' posturing .,1,1,2
5091,4,"If you like quirky , odd movies and\/or the ironic , here 's a fun one .",3,3,4
58,4,Sexy and romantic .,4,3,4
60,0,"With a completely predictable plot , you 'll swear that you 've seen it all before , even if you 've never come within a mile of The Longest Yard .",0,1,0
76,2,The camera twirls !,2,1,2
82,0,Skip this turd and pick your nose instead because you 're sure to get more out of the latter experience .,0,1,0
93,0,"The movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",0,1,0
96,2,"On a certain base level , Blue Crush delivers what it promises , just not well enough to recommend it .",2,1,2
105,4,"One of the best , most understated performances of -LRB- Jack Nicholson 's -RRB- career .",4,3,4
122,2,"In trying to be daring and original , it comes off as only occasionally satirical and never fresh .",2,1,2
161,3,A tasty appetizer that leaves you wanting more .,3,4,3
186,2,Ca n't seem to get anywhere near the story 's center .,2,1,2
207,2,It tells its story in a flat manner and leaves you with the impression that you should have gotten more out of it than you did .,2,1,2
227,2,"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",2,3,2
274,0,"Madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like Michael Jackson 's nose .",0,1,0
281,2,"But if you 've paid a matinee price and bought a big tub of popcorn , there 's guilty fun to be had here .",2,3,2
305,2,It 's time to let your hair down -- Greek style .,2,3,2
308,0,"We started to wonder if ... some unpaid intern had just typed ` Chris Rock , ' ` Anthony Hopkins ' and ` terrorists ' into some Univac-like script machine .",0,1,0
332,0,"An ugly , pointless , stupid movie .",0,1,0
337,4,Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,4,3,4
377,4,"Like Brosnan 's performance , Evelyn comes from the heart .",4,3,4
461,4,"With few respites , Marshall keeps the energy humming , and his edits , unlike those in Moulin Rouge , are crisp and purposeful without overdoing it .",4,3,4
509,2,"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",2,1,2
515,0,It just did n't mean much to me and played too skewed to ever get a hold on -LRB- or be entertained by -RRB- .,0,1,0
598,2,What begins as a film in the tradition of The Graduate quickly switches into something more recyclable than significant .,2,1,2
601,0,Scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theatres graced with its company .,0,1,0
636,4,"MacDowell ... gives give a solid , anguished performance that eclipses nearly everything else she 's ever done .",4,3,4
658,2,"Feels like nothing quite so much as a middle-aged moviemaker 's attempt to surround himself with beautiful , half-naked women .",2,1,2
723,2,Where Bowling for Columbine is at its most valuable is in its examination of America 's culture of fear as a root cause of gun violence .,2,3,2
727,0,Plotless collection of moronic stunts is by far the worst movie of the year .,0,1,0
737,0,The script was reportedly rewritten a dozen times -- either 11 times too many or else too few .,0,1,0
755,1,And adults will at least have a dream image of the West to savor whenever the film 's lamer instincts are in the saddle .,1,3,1
792,2,So brisk is Wang 's pacing that none of the excellent cast are given air to breathe .,2,1,2
845,2,It 's another retelling of Alexandre Dumas ' classic .,2,3,2
906,2,`` Not really as bad as you might think ! '',2,3,2
920,0,"The film 's trailer also looked like crap , so crap is what I was expecting .",0,1,0
935,4,"The film just might turn on many people to opera , in general , an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life .",4,3,4
938,3,"How good this film might be , depends if you believe that the shocking conclusion is too much of a plunge or not .",3,1,3
943,0,"What remains is a variant of the nincompoop Benigni persona , here a more annoying , though less angry version of the irresponsible Sandlerian manchild , undercut by the voice of the star of Road Trip .",0,1,0
951,3,"White Oleander may leave you rolling your eyes in the dark , but that does n't mean you wo n't like looking at it .",3,2,3
958,4,The most compelling performance of the year adds substantial depth to this shocking testament to anti-Semitism and neo-fascism .,4,3,4
1024,0,"The documentary is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .",0,1,0
1027,2,Nair does n't use -LRB- Monsoon Wedding -RRB- to lament the loss of culture .,2,1,2
1031,2,` Hey Arnold ! ',2,3,2
1046,2,A really funny fifteen-minute short stretched beyond its limits to fill an almost feature-length film .,2,3,2
1056,1,Any rock pile will do for a set .,1,2,1
1085,4,"A movie I loved on first sight and , even more important , love in remembrance .",4,3,4
1088,0,A ragbag of cliches .,0,1,0
1095,2,Too many improbabilities and rose-colored situations temper what could 've been an impacting film .,2,1,2
1159,0,"but rather , ` How can you charge money for this ? '",0,1,0
1210,4,"The art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack .",4,3,4
1211,3,"When twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if Argento 's Hollywood counterparts ... had this much imagination and nerve .",3,2,3
1256,0,Generic thriller junk .,0,1,0
1307,2,In a word : No. .,2,1,2
1360,4,"Writer-director David Jacobson and his star , Jeremy Renner , have made a remarkable film that explores the monster 's psychology not in order to excuse him but rather to demonstrate that his pathology evolved from human impulses that grew hideously twisted .",4,3,4
1373,3,An average kid-empowerment fantasy with slightly above-average brains .,3,1,3
1374,2,"The whole mildly pleasant outing -- the R rating is for brief nudity and a grisly corpse -- remains aloft not on its own self-referential hot air , but on the inspired performance of Tim Allen .",2,3,2
1430,2,A frustrating yet deeply watchable melodrama that makes you think it 's a tougher picture than it is .,2,3,2
1448,1,"It does n't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain .",1,2,1
1451,2,The respective charms of Sandra Bullock and Hugh Grant have worn threadbare .,2,1,2
1465,1,Deserving of its critical backlash and more .,1,3,1
1467,0,Dripping with cliche and bypassing no opportunity to trivialize the material .,0,1,0
1468,4,This is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies .,4,3,4
1520,4,"This is pure , exciting moviemaking .",4,3,4
1587,4,It 's as raw and action-packed an experience as a ringside seat at a tough-man contest .,4,3,4
1593,2,Charming and funny -LRB- but ultimately silly -RRB- movie .,2,3,2
1665,2,Sayles is making a statement about the inability of dreams and aspirations to carry forward into the next generation .,2,1,2
1691,0,My own minority report is that it stinks .,0,1,0
1738,4,Nicholson 's understated performance is wonderful .,4,3,4
1750,3,A bodice-ripper for intellectuals .,3,1,3
1772,4,"The film is visually dazzling , the depicted events dramatic , funny and poignant .",4,3,4
1806,0,This is just lazy writing .,0,1,0
1852,2,"The actresses may have worked up a back story for the women they portray so convincingly , but viewers do n't get enough of that background for the characters to be involving as individuals rather than types .",2,1,2
1866,0,So putrid it is not worth the price of the match that should be used to burn every print of the film .,0,1,0
1872,3,A thought-provoking and often-funny drama about isolation .,3,4,3
1886,1,"There 's a delightfully quirky movie to be made from curling , but Brooms is n't it .",1,2,1
1942,3,The first Bond movie in ages that is n't fake fun .,3,1,3
1964,0,"If you enjoy being rewarded by a script that assumes you are n't very bright , then Blood Work is for you .",0,1,0
1993,0,"Muddled , simplistic and more than a little pretentious .",0,1,0
2036,2,"A very familiar tale , one that 's been told by countless filmmakers about Italian - , Chinese - , Irish - , Latin - , Indian - , Russian - and other hyphenate American young men struggling to balance conflicting cultural messages .",2,3,2
2042,0,"Bread , My Sweet has so many flaws it would be easy for critics to shred it .",0,1,0
2048,2,Draggin ' about dragons,2,1,2
2063,0,Rashomon-for-dipsticks tale .,0,1,0
2079,2,"Not to mention a sharper , cleaner camera lens .",2,3,2
2082,4,This may be Burns 's strongest film since The Brothers McMullen .,4,3,4
2088,4,"Sparkling , often hilarious romantic jealousy comedy ... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called ` My Husband Is Travis Bickle ' .",4,3,4
2095,4,"Gangster No. 1 is solid , satisfying fare for adults .",4,3,4
2121,2,For free .,2,3,2
2123,2,"... a visually seductive , unrepentantly trashy take on Rice 's second installment of her Vampire Chronicles .",2,3,2
2125,4,A serious movie with serious ideas .,4,3,4
2189,3,"If cinema had been around to capture the chaos of France in the 1790 's , one imagines the result would look like something like this .",3,2,3
2210,4,Beautiful to watch and holds a certain charm .,4,3,4
2283,4,"Williams creates a stunning , Taxi Driver-esque portrayal of a man teetering on the edge of sanity .",4,3,4
2303,4,The performances are remarkable .,4,3,4
2364,0,"The Sum of All Fears pretends to be a serious exploration of nuclear terrorism , but it 's really nothing more than warmed-over Cold War paranoia .",0,1,0
2410,2,The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .,2,1,2
2411,4,By turns very dark and very funny .,4,3,4
2414,1,But here 's a movie about it anyway .,1,2,1
2450,2,"A well-acted , but one-note film .",2,1,2
2513,0,"It 's hard to imagine any recent film , independent or otherwise , that makes as much of a mess as this one .",0,1,0
2565,3,"Sly , sophisticated and surprising .",3,4,3
2578,3,"The film 's strength is n't in its details , but in the larger picture it paints - of a culture in conflict with itself , with the thin veneer of nationalism that covers our deepest , media-soaked fears .",3,2,3
2661,4,"The film brilliantly shines on all the characters , as the direction is intelligently accomplished .",4,3,4
2670,1,"Although God Is Great addresses interesting matters of identity and heritage , it 's hard to shake the feeling that it was intended to be a different kind of film .",1,2,1
2709,2,"Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Shower , was a non-threatening multi-character piece centered around a public bath house .",2,3,2
2728,2,He 's worked too hard on this movie .,2,1,2
2743,4,The most amazing super-sized dosage of goofball stunts any `` Jackass '' fan could want .,4,3,4
2798,2,Photographed with melancholy richness and eloquently performed yet also decidedly uncinematic .,2,3,2
2859,2,I 'm not generally a fan of vegetables but this batch is pretty cute .,2,3,2
2867,4,Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .,4,3,4
2873,0,"... unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted .",0,1,0
2905,4,That 's fun for kids of any age .,4,3,4
2927,2,Charlize CHASES Kevin with a GUN .,2,1,2
2944,2,"An involving , inspirational drama that sometimes falls prey to its sob-story trappings .",2,3,2
3019,0,"The characters are so generic and the plot so bland that even as rogue CIA assassins working for Chris Cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for Damon\/Bourne or his predicament .",0,1,0
3042,2,Would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ?,2,1,2
3056,3,"Pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance .",3,4,3
3058,0,"A long , dull procession of despair , set to cello music culled from a minimalist funeral .",0,1,0
3063,0,You can practically hear George Orwell turning over .,0,2,0
3075,1,Taken outside the context of the current political climate -LRB- see : terrorists are more evil than ever ! -RRB-,1,2,1
3097,3,A winning piece of work filled with love for the movies of the 1960s .,3,4,3
3102,4,Spiderman ROCKS,4,3,4
3134,2,It is up to you to decide if you need to see it .,2,3,2
3225,0,Movies like High Crimes flog the dead horse of surprise as if it were an obligation .,0,1,0
3228,0,Run for your lives !,0,3,0
3259,2,"All the filmmakers are asking of us , is to believe in something that is improbable .",2,1,2
3265,2,Anyone who gets chills from movies with giant plot holes will find plenty to shake and shiver about in ` The Ring . ',2,3,2
3266,4,The film offers an intriguing what-if premise .,4,3,4
3277,2,"When the precise nature of Matthew 's predicament finally comes into sharp focus , the revelation fails to justify the build-up .",2,1,2
3287,2,"Fubar is very funny , but not always in a laugh-out-loud way .",2,3,2
3298,0,"Aloof and lacks any real raw emotion , which is fatal for a film that relies on personal relationships .",0,1,0
3299,0,... irritating soul-searching garbage .,0,1,0
3333,4,"There is no substitute for on-screen chemistry , and when Friel pulls the strings that make Williams sink into melancholia , the reaction in Williams is as visceral as a gut punch .",4,3,4
3388,2,"Twenty years later , Reggio still knows how to make a point with poetic imagery , but his ability to startle has been stifled by the very prevalence of the fast-forward technology that he so stringently takes to task .",2,1,2
3406,4,"The performances are immaculate , with Roussillon providing comic relief .",4,3,4
3441,3,"Uneven , self-conscious but often hilarious spoof .",3,2,3
3456,0,"Stitch is a bad mannered , ugly and destructive little \*\*\*\* .",0,1,0
3507,2,"I was hoping that it would be sleazy and fun , but it was neither .",2,1,2
3537,0,"In other words , about as bad a film you 're likely to see all year .",0,1,0
3588,4,"Mike White 's deft combination of serious subject matter and dark , funny humor make `` The Good Girl '' a film worth watching .",4,3,4
3615,2,Handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .,2,3,2
3632,2,"The Santa Clause 2 is a barely adequate babysitter for older kids , but I 've got to give it thumbs down .",2,1,2
3643,4,About as big a crowdpleaser as they possibly come .,4,1,4
3690,4,"Whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini DV , they show a remarkable ability to document both sides of this emotional car-wreck .",4,3,4
3693,0,"Even on its own ludicrous terms , The Sum of All Fears generates little narrative momentum , and invites unflattering comparisons to other installments in the Ryan series .",0,1,0
3717,4,"Light-years ahead of paint-by-number American blockbusters like Pearl Harbor , at least artistically .",4,1,4
3744,2,"The boys ' sparring , like the succession of blows dumped on Guei , wears down the story 's more cerebral , and likable , plot elements .",2,1,2
3753,0,It appears to have been made by people to whom the idea of narrative logic or cohesion is an entirely foreign concept .,0,1,0
3824,2,"Peralta 's mythmaking could have used some informed , adult hindsight .",2,1,2
3855,4,The writing is clever and the cast is appealing .,4,3,4
3856,0,"Take away the controversy , and it 's not much more watchable than a Mexican soap opera .",0,1,0
3875,2,Less worrying about covering all the drama in Frida 's life and more time spent exploring her process of turning pain into art would have made this a superior movie .,2,3,2
3915,0,"Imagine Kevin Smith , the blasphemous bad boy of suburban Jersey , if he were stripped of most of his budget and all of his sense of humor .",0,1,0
3927,4,"Shot in rich , shadowy black-and-white , Devils chronicles , with increasingly amused irony , the relationship between reluctant captors and befuddled captives .",4,3,4
3955,2,"But it is set in a world that is very , very far from the one most of us inhabit .",2,1,2
3957,2,One thing is for sure : This movie does not tell you a whole lot about Lily Chou-Chou .,2,1,2
3959,0,The plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .,0,1,0
4006,2,` Rare Birds ' tries to force its quirkiness upon the audience .,2,1,2
4009,2,"Everything else about High Crimes is , like the military system of justice it portrays , tiresomely regimented .",2,1,2
4017,2,Ozpetek joins the ranks of those gay filmmakers who have used the emigre experience to explore same-sex culture in ways that elude the more nationally settled .,2,3,2
4052,3,One of the most gloriously unsubtle and adrenalized extreme shockers since The Evil Dead .,3,4,3
4104,4,"Warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message .",4,3,4
4181,2,"Ram Dass Fierce Grace moulds itself as an example to up-and-coming documentarians , of the overlooked pitfalls of such an endeavour .",2,3,2
4200,0,"Nobody seems to have cared much about any aspect of it , from its cheesy screenplay to the grayish quality of its lighting to its last-minute , haphazard theatrical release .",0,1,0
4213,1,"It 's Tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .",1,2,1
4214,0,... a weak and ineffective ghost story without a conclusion or pay off .,0,1,0
4223,0,"Another week , another gross-out college comedy -- ugh .",0,1,0
4227,4,"Even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... you almost do n't notice the 129-minute running time .",4,3,4
4237,2,"Thanks to Ice Cube , Benjamins feels an awful lot like Friday in Miami .",2,1,2
4259,3,A heartening tale of small victories and enduring hope .,3,4,3
4301,4,The story ultimately takes hold and grips hard .,4,3,4
4309,3,"One of those rare films that come by once in a while with flawless amounts of acting , direction , story and pace .",3,4,3
4409,2,"Ultimately , Jane learns her place as a girl , softens up and loses some of the intensity that made her an interesting character to begin with .",2,1,2
4413,2,"Few of the increasingly far-fetched events that first-time writer-director Neil Burger follows up with are terribly convincing , which is a pity , considering Barry 's terrific performance .",2,1,2
4420,4,"This is a movie that refreshes the mind and spirit along with the body , so original is its content , look , and style .",4,3,4
4435,4,"That Jack Nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .",4,3,4
4444,2,"A perfectly acceptable , perfectly bland , competently acted but by no means scary horror movie .",2,3,2
4460,4,Offers a guilt-free trip into feel-good territory .,4,3,4
4495,2,"Streamlined to a tight , brisk 85-minute screwball thriller , `` Big Trouble '' is funny , harmless and as substantial as a tub of popcorn with extra butter .",2,3,2
4510,2,"Holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp .",2,1,2
4526,1,"Too campy to work as straight drama and too violent and sordid to function as comedy , Vulgar is , truly and thankfully , a one-of-a-kind work .",1,3,1
4558,0,"The nonstop artifice ultimately proves tiresome , with the surface histrionics failing to compensate for the paper-thin characterizations and facile situations .",0,1,0
4583,4,Writer and director Otar Iosseliani 's pleasant tale about a factory worker who escapes for a holiday in Venice reveals how we all need a playful respite from the grind to refresh our souls .,4,3,4
4626,4,Bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .,4,3,4
4632,3,God bless Crudup and his aversion to taking the easy Hollywood road and cashing in on his movie-star gorgeousness .,3,2,3
4664,3,"When one hears Harry Shearer is going to make his debut as a film director , one would hope for the best",3,2,3
4678,2,"The film did n't move me one way or the other , but it was an honest effort and if you want to see a flick about telemarketers this one will due .",2,3,2
4723,0,"The movie 's plot is almost entirely witless and inane , carrying every gag two or three times beyond its limit to sustain a laugh .",0,1,0
4758,3,"One of the funniest motion pictures of the year , but ... also one of the most curiously depressing .",3,2,3
4804,3,The ending feels at odds with the rest of the film .,3,1,3
4807,1,"Pretty much sucks , but has a funny moment or two .",1,2,1
4819,2,"Explosions , jokes , and sexual innuendoes abound .",2,3,2
4873,2,A late-night cable sexploitation romp masquerading as a thriller about the ruthless social order that governs college cliques .,2,1,2
4890,0,All of the filmmakers ' calculations ca n't rescue Brown Sugar from the curse of blandness .,0,1,0
4930,2,"Interesting , but not compelling .",2,1,2
4938,0,"Poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action .",0,1,0
5004,2,"Not everything in the film works , including its somewhat convenient ending .",2,1,2
5030,0,"The actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .",0,1,0
5044,0,"Interminably bleak , to say nothing of boring .",0,1,0
5072,3,"A rock-solid gangster movie with a fair amount of suspense , intriguing characters and bizarre bank robberies , plus a heavy dose of father-and-son dynamics .",3,4,3
5133,0,"... an airless , prepackaged Julia Roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if Lopez 's publicist should share screenwriting credit .",0,1,0
5168,4,I like this movie a lot .,4,3,4
5180,0,What might have emerged as hilarious lunacy in the hands of Woody Allen or Mel Brooks -LRB- at least during their '70s heyday -RRB- comes across as lame and sophomoric in this debut indie feature .,0,1,0
5209,0,Horrible .,0,1,0
5218,2,"Everything its title implies , a standard-issue crime drama spat out from the Tinseltown assembly line .",2,1,2
5224,0,Aggravating and tedious .,0,1,0
5235,2,"It 's better than mid-range Steven Seagal , but not as sharp as Jet Li on rollerblades .",2,1,2
