,Caterogy,Sentence
34,1,the movie 's big shock come from see former nymphette juliette lewis play salt of the earth mommy name minnie and watch slim travel incognito in ridiculous wig no respectable halloween costume shop would ever try to sell .
35,3,"twohy know how to inflate the mundane into the scarifying , and get full mileage out of the rolling of stray barrel or the unexpected blast of phonograph record ."
36,3,"see as the film lack momentum and its position remain mostly undeterminable , the director 's experiment be successful one ."
37,3,"it challenge , this nervy oddity , like modern art should ."
38,3,this be shrewd and effective film from director who understand how to create and sustain mood .
39,4,pacino be the best he 's be in year and keener be marvelous .
40,1,"its and piece of the hot chick be so hilarious , and schneider 's performance be so fine , it 's real shame that so much of the movie again , as in the animal be slapdash mess ."
41,3,tsai convincingly paint specifically urban sense of disassociation here .
42,3,"its flame like , roil black and white inspires tremble and gratitude ."
43,2,barrel along at the start before become mire in sentimentality .
44,4,"a delicious , quirky movie with terrific screenplay and fanciful direction by michael gondry ."
45,3,"a thriller whose style , structure and rhythm be so integrated with the story , you can not separate them ."
46,1,the joke be telegraph so far in advance they must have be lose in the mail .
47,1,ever see one of those comedy that just seem like bad idea from frame one ?
48,1,"cherry orchard be badly edit , often awkwardly direct and suffers from the addition of wholly unnecessary pre credit sequence design to give some of the character ` back story . '"
49,1,"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero catch up in an intricate plot that while cleverly work out , can not overcome blah character ."
50,1,"talkiness be't necessarily bad , but the dialogue frequently miss the mark ."
51,1,the only young people who possibly will enjoy it be infant ... who might be distract by the movie 's quick movement and sound .
52,2,"the animation merely serve up predictable , maudlin story that swipe heavily from bambi and the lion king , yet lack the emotional resonance of either of those movie ."
53,3,the engagingly primitive animate special effect contribute to mood that 's sustain through the surprisingly somber conclusion .
54,0,"steal harvard do't care about cleverness , wit or any other kind of intelligent humor ."
55,3,poignant and delicately complex .
56,0,"a dull , somnambulant exercise in pretension whose pervasive quiet be break by frequent outburst of violence and noise ."
57,4,"a compelling , gut clutch piece of advocacy cinema that carry you along in torrent of emotion as it explore the awful complication of one terrify day ."
58,3,"f rom the performance and the cinematography to the outstanding soundtrack and unconventional narrative , the film be blazingly alive and admirable on many level ."
59,4,kinnear 's performance be career define revelation .
60,1,"stink from start to finish , like wet burlap sack of gloom ."
61,1,"the entire point of shaggy dog story , of course , be that it go nowhere , and this be classic nowheresville in every sense ."
62,3,a wild ride juiced with enough energy and excitement for at least three film .
63,4,even good than the first one !
64,0,nearly every attempt at humor here be doa .
65,3,a film with great premise but only great premise .
66,1,this be film tailor make for those who when they be in high school would choose the cliff note over read full length classic .
67,3,"you can watch , giggle and get an adrenaline boost without feel like you 've completely lower your entertainment standard ."
68,3,good performance keep it from be total rehash .
69,2,"though uniformly well act , especially by young ballesta and galan first time actor , writer director achero manas 's film be schematic and obvious ."
70,0,"loud , chaotic and largely unfunny ."
71,3,a reasonably entertaining sequel to 1994 's surprise family hit that may strain adult credibility .
72,4,"nicole holofcener 's lovely and amazing , from her own screenplay , jump to the head of the class of woman 's film that manage to avoid the ghetto of sentimental chick flick by treat female folly with satirical style ."
73,3,"a pointed , often tender , examination of the pro and con of unconditional love and familial duty ."
74,4,change lane be an anomaly for hollywood movie it 's well write and occasionally challenge social drama that actually have something interest to say .
75,3,with exquisite craftsmanship ... olivier assayas have fashion an absorb look at provincial bourgeois french society .
76,3,"may be more genial than ingenious , but it get the job do ."
77,0,it 's horribly depressing and not very well do .
78,4,speaks eloquently about the symbiotic relationship between art and life .
79,2,you want to call domino 's .
80,3,"coppola 's directorial debut be an incredibly layer and stylistic film that , despite fairly slow pace , almost humdrum approach to character development , still manage at least decent attempt at meaningful cinema ."
81,4,"think of it as gidget , only with muscle and lot more smart , but just as endear and easy to watch ."
82,4,woody allen have really find his groove these day .
83,1,feel less like cousin to blade runner than like bottom feeder sequel in the escape from new york series .
84,2,his scene be short and often unexpected .
85,2,"gang , despite the gravity of its subject matter , be often as fun to watch as good spaghetti western ."
86,3,frank capra play this story straight .
87,2,the country bear have no scene that will upset or frighten young viewer .
88,1,its generic villain lack any intrigue other than their funny accent and the action scene be poorly deliver .
89,4,a jaw droppingly beautiful work that upend nearly every clich of japanese animation while deliver more than satisfactory amount of carnage .
90,1,the film be undone by anachronistic quick edits and occasional jarring glimpse of modern theater audience watch the event unfold .
91,3,"what dumb , fun , curiously adolescent movie this be ."
92,2,debate it .
93,4,"better effect , good acting and hilarious kenneth branagh ."
94,2,"child of the century , though well dress and well make , ultimately fall prey to the contradiction that afflict so many movie about writer ."
95,3,imagine scenario where bergman approach swedish fatalism use gary larson 's far side humor
96,1,demme finally succeed in diminish his stature from oscar win master to lowly studio hack .
97,2,"the emperor 's club be one of those film that possess all the good intention in the world , but ..."
98,0,"frankly , it 's kind of insulting , both to men and woman ."
99,0,try to work in the same vein as the brilliance of animal house but instead come closer to the failure of the third revenge of the nerd sequel .
100,4,"it 's fine , focused piece of work that reopen an interesting controversy and never succumbs to sensationalism ."
101,2,"the actor pull out all the stop in nearly every scene , but to diminish effect ."
102,1,"it should be interesting , it should be poignant , it turn out to be affect and boring ."
103,3,"for every cheesy scene , though , there be really cool bit the movie 's conception of future world holographic librarian orlando jones who know everything and answer all question , be visually smart , cleverly write , and nicely realize ."
104,3,"chicago offer much colorful eye candy , include the spectacle of gere in his dancing shoe , hoof and croon with the best of them ."
105,1,i suspect this be the kind of production that would have be funny if the director have release the outtake theatrically and use the film as bonus feature on the dvd .
106,3,"compulsively watchable , no matter how degraded thing get ."
107,3,"the most audacious , outrageous , sexually explicit , psychologically probe , pure libido film of the year have arrive from portugal ."
108,3,"even when he 's not at his most critically insightful , godard can still be smart than any 50 other filmmaker still at work ."
109,2,a rare movie that make us re assess the basis for our life and evaluate what be truly ours in world of meaningless activity .
110,4,"young hank and fisk , who vaguely resemble their celebrity parent , bring fresh good look and an ease in front of the camera to the work ."
111,4,"it 's wise and powerful tale of race and culture forcefully tell , with superb performance throughout ."
112,4,"a shimmeringly lovely come of age portrait , shot in artful , watery tone of blue , green and brown ."
113,2,"parker should be commend for take fresh approach to familiar material , but his determination to remain true to the original text lead him to adopt somewhat mannered tone ... that ultimately dull the human tragedy at the story 's core ."
114,1,a waste of fearless purity in the acting craft .
115,3,"tends to pile too many `` serious issue `` on its plate at time , yet remain fairly light , always entertain , and smartly write ."
116,4,one of the great film 've ever see .
117,0,"an ugly , pointless , stupid movie ."
118,0,"the performance be so overstated , the effect come off as self parody ."
119,4,"light , silly , photograph with colour and depth , and rather good time ."
120,4,the film be impressive for the sight and sound of the wondrous beat the world have to offer .
121,2,courtney chase stuart with cell phone .
122,3,an energetic and engaging film that never pretend to be something it be't .
123,2,"ultimately , clarity matter , both in break code and make movie ."
124,1,as original and insightful as last week 's episode of behind the music .
125,2,"triumph of love be very silly movie , but the silliness have pedigree ."
126,3,generates an enormous feeling of empathy for its character .
127,1,feel less like change in herzog 's personal policy than half hearted fluke .
128,3,vincent gallo be right at home in this french shocker play his usual bad boy weirdo role .
129,1,"in one scene , we get stab at soccer hooliganism , double barrel rip off of quentin tarantino 's climactic shootout and meat loaf explodes ."
130,1,low rent from frame one .
131,4,"it 's soulful and unslick , and that 's apparently just what aniston have always need to grow into movie career ."
132,4,majidi 's direction have never be smooth or more confident .
133,3,"as dumb and cheesy as they may be , the cartoon look almost shakespearean both in depth and breadth after watch this digital effect heavy , suppose family friendly comedy ."
134,2,the kind of trifle that date night be invent for . .
135,3,it 's not too fast and not too slow .
136,4,the gag that fly at such furiously funny pace that the only rip off that we be aware of be the one we felt when the movie end so damned soon .
137,2,"in his determination to lighten the heavy subject matter , silberling also , to certain extent , trivialize the movie with too many nervous gag and pratfall ."
138,1,"wimp out by go for that pg 13 rating , so the more graphic violence be mostly off screen and the sexuality be mute ."
139,0,"another wholly unnecessary addition to the grow , molder pile of , well , extreme stunt picture ."
140,1,"judd 's character ought to pick up the durable best seller smart woman , foolish choice for advice ."
141,1,"such wildly uneven hit and miss enterprise , you ca't help suspect that it be improvise on day to day basis during production ."
142,1,a singularly off put romantic comedy .
143,0,it 's splash without the joke .
144,2,"what with the incessant lounge music playing in the film 's background , you may mistake love liza for an adam sandler chanukah song ."
145,0,"spread itself too thin , leave these actor , as well as the member of the commune , short of profound characterization"
146,1,the problem be that van wilder do little that be actually funny with the material .
147,1,a mimetic approximation of good film
148,3,"if not home run , then at least solid base hit ."
149,0,"far too clever by half , howard 's film be really series of strung together moment , with all the space in between fill with fantasy , daydream , memory and one fantastic visual trope after another ."
150,1,insufferably naive .
151,3,it 's about issue most adult have to face in marriage and think that 's what like about it the real issue tuck between the silly and crude storyline .
152,2,"soderbergh seem capable only of deliver artfully light , earnest inquiry that lack the kind of genuine depth that would make them redeemable ."
153,2,"with wit and empathy to spare , waydowntown acknowledge the silent scream of workaday inertia but stop short of indulge its character ' strive solipsism ."
154,3,a comedy that swing and jostle to the rhythm of life .
155,0,"it make me feel unclean , and 'm the guy who like there 's something about mary and both american pie movie ."
156,1,the movie do't add anything fresh to the myth .
157,4,i love the robust middle of this picture .
158,2,"even though it be infuse with the sensibility of video director , it do't make for completely empty entertainment"
159,3,"the chateau belong to rudd , whose portrait of therapy dependent flakeball spout french malapropism ... be nonstop hoot ."
160,3,"with large cast represent broad cross section , tavernier 's film bound along with the rat tat energy of `` his girl friday , `` maintain light touch while tackle serious theme ."
161,2,you want to call domino 's .
162,3,"a touching , sophisticated film that almost seem like documentary in the way it capture an italian immigrant family on the brink of major change ."
163,0,"it 's be 13 month and 295 preview screening since last walk out on movie , but resident evil really earn my indignant , preemptive departure ."
164,2,and how .
165,2,"lavishly , exhilaratingly tasteless ."
166,2,"she 's not yet an actress , not quite singer ..."
167,1,the pool drown me in boredom .
168,2,"boldly engineering collision between tawdry movie flamboyance and grandiose spiritual anomie , rise 's film , true to its source material , provide tenacious demonstration of death as the great equalizer ."
169,4,"the aaa of action , xxx be blast of adrenalin , rat eee for excitement ."
170,3,should be require view for civics class and would be public servant alike .
171,3,"when you 've get the wildly popular vin diesel in the equation , it add up to big box office buck all but guarantee ."
172,2,"while glover , the irrepressible eccentric of river 's edge , dead man and back to the future , be perfect cast for the role , he represent bartleby 's main overall flaw ."
173,1,"it star schticky chris rock and stolid anthony hopkins , who seem barely in the same movie ."
174,1,"a series of escapade demonstrate the adage that what be good for the goose be also good for the gander , some of which occasionally amuse but none of which amount to much of story ."
175,3,"`` the dangerous life of altar boy `` have flaw , but it also have humor and heart and very talented young actor"
176,4,"demonstrate the unusual power of thoughtful , subjective filmmaking ."
177,3,"it 's neither as sappy as big daddy nor as anarchic as happy gilmore or the waterboy , but it have its moment ."
178,2,"it be an indelible epic american story about two family , one black and one white , face change in both their inner and outer life ."
179,3,while the frequent allusion to guru and doshas will strike some westerner as verge on mumbo jumbo ... broad streak of common sense emerge with unimpeachable clarity .
180,4,birthday girl walk tricky tightrope between be wickedly funny and just plain wicked .
181,0,mr. soderbergh 's direction and visual style strike me as unusually and unimpressively fussy and pretentious .
182,1,"blue crush have all the trapping of an energetic , extreme sport adventure , but end up more of creaky `` pretty woman `` retread , with the emphasis on self empower schmaltz and big wave surf that give pic its title an afterthought ."
183,4,the film be bright and flashy in all the right way .
184,4,i hope the movie be widely see and debate with appropriate ferocity and thoughtfulness .
185,1,you 'll feel like you eat reeses without the peanut butter ... '
186,3,the film prove unrelentingly grim and equally engross .
187,1,serve sara be little more than mall movie design to kill time .
188,2,handsome and sincere but slightly awkward in its combination of entertainment and evangelical boosterism .
189,4,"provide the kind of ` laugh therapy ' need from movie comedy offbeat humor , amuse character , and happy end ."
190,4,... powerful sequel and one of the best film of the year .
191,2,curling may be unique sport but men with broom be distinctly ordinary .
192,2,"call this the full monty on ice , the underdog sport team formula redux ."
193,3,reggio and glass put on an intoxicating show .
194,2,then nadia 's birthday might not have be such bad day after all .
195,2,`` the tuxedo `` should have be the vehicle for chan that `` the mask `` be for jim carrey .
196,3,the story be smart and entirely charm in intent and execution .
197,1,"shreve 's graceful dual narrative get clunky on the screen , and we keep get tear away from the compelling historical tale to less compelling soap opera ."
198,0,"carvey 's character be both overplayed and exaggerated , but then again , subtlety have never be his trademark ."
199,4,"everyone 's insecure in lovely and amazing , poignant and wryly amusing film about mother , daughter and their relationship ."
200,3,"` film aficionado can not help but love cinema paradiso , whether the original version or new director 's cut . '"
201,1,a loquacious and dreary piece of business .
202,1,"unfortunately , there be almost nothing in this flat effort that will amuse or entertain them , either ."
203,1,"stale , futile scenario ."
204,1,"after all , it 'll probably be in video store by christmas , and it might just be better suit to night in the living room than night at the movie ."
205,1,"while easy to sit through than most of jaglom 's self conscious and gratingly irritating film , it 's still taint by cliche , painful improbability and murky point ."
206,0,the film be so bad it do't improve upon the experience of star at blank screen .
207,3,"oddly , the film be't nearly as downbeat as it sound , but strike tone that 's alternately melancholic , hopeful and strangely funny ."
208,2,"davis the performer be plenty fetch enough , but she need to shake up the mix , and work in something that do't feel like half bake stand up routine ."
209,3,leigh make these life count .
210,2,your stomach for heaven depend largely on your appetite for canned corn .
211,3,delivers roughly equal amount of beautiful movement and inside information .
212,4,it 's refresh to see movie that embrace its old fashion theme and in the process come out look like something wholly original .
213,2,director david jacobson give dahmer consideration that the murderer never game his victim .
214,3,"it 's up to watts to lend credibility to this strange scenario , and her presence succeed in make us believe ."
215,2,bravo reveal the true intent of her film by carefully select interview subject who will construct portrait of castro so predominantly charitable it can only be see as propaganda .
216,3,despite its flaw ... belinsky be still able to create an engaging story that keep you guess at almost every turn .
217,1,ear splitting exercise in formula crash and bash action .
218,1,i be more offended by his lack of faith in his audience than by anything on display here .
219,1,"the plot have number of hole , and at time it 's simply baffle ."
220,2,"` all in all , reign of fire will be good successful rental . '"
221,2,if sinise 's character have brain his ordeal would be over in five minute but instead the plot go out of its way to introduce obstacle for him to stumble over .
222,3,we want the funk and this movie 's get it .
223,3,competently direct but terminally cute drama .
224,1,"solondz be without doubt an artist of uncompromising vision , but that vision be begin to feel , if not morally bankrupt , at least terribly monotonous ."
225,1,"but it have an ambition to say something about its subject , but not willingness ."
226,4,"it 's immensely ambitious , different than anything that 's be do before and amazingly successful in term of what it 's try to do ."
227,0,it 's an 88 minute highlight reel that 's 86 minute too long .
228,3,"a good film with solid pedigree both in front of and , more specifically , behind the camera ."
229,1,that the ` true story ' by which all the queen 's men be allegedly `` inspire `` be lot funny and more deftly enact than what 's be cobble together onscreen .
230,3,although commentary on nachtwey be provide ... it 's the image that really tell the tale .
231,1,"yes , spirited away be triumph of imagination , but it 's also failure of storytelling ."
232,3,"eventually arrive at its heart , as simple self reflection meditation ."
233,1,"there might be some sort of credible gender provoke philosophy submerge here , but who the hell care ?"
234,2,a very pretty after school special .
235,2,"if you 're really rent this you 're not interested in discretion in your entertainment choice , you 're interested in anne geddes , john grisham , and thomas kincaid ."
236,3,"the fascination come in the power of the huston performance , which seem so large than life and yet so fragile , and in the way the ivan character accept the news of his illness so quickly but still find himself unable to react ."
237,3,"... the story , like ravel 's bolero , build to crescendo that encompass many more path than we start with ."
238,0,"the documentary be much too conventional lot of bore talk head , etc . to do the subject matter justice ."
239,1,"an exceptionally dreary and overwrought bit of work , every bit as imperious as katzenberg 's the prince of egypt from 1998 ."
240,3,stephen earnhart 's film be more about the optimism of group of people who be struggle to give themselves good lot in life than the one they currently have .
241,4,"... once the true impact of the day unfold , the power of this movie be undeniable ."
242,2,"you can see the would be surprise come mile away , and the execution of these twist be deliver with hammer ."
243,2,"you really have to salute writer director haneke he adapt elfriede jelinek 's novel for make film that be't nearly as graphic but much more powerful , brutally shock and difficult to watch ."
244,1,"like the world of his film , hartley create monster but do't know how to handle it ."
245,1,too infuriatingly quirky and take with its own style .
246,4,"a genuinely funny ensemble comedy that also ask its audience in heartwarming , nonjudgmental kind of way to consider what we value in our daily life ."
247,2,"ice age be the first computer generate feature cartoon to feel like other movie , and that make for some glacial pace early on ."
248,1,incoherence reign .
249,4,"road to perdition do display greatness , and it 's worth see ."
250,1,"the narrator and the other character try to convince us that act transfigures esther , but she 's never see speak on stage one feel cheat , and esther seem to remain an unchanged dullard ."
251,3,stevens ' vibrant creative instinct be the difference between this and countless other flick about guy and doll .
252,0,"an inept , tedious spoof of '70s kung fu picture , it contain almost enough chuckle for three minute sketch , and no more ."
253,2,"a few energetic stunt sequence briefly enliven the film , but the wheezing terrorist subplot have't the stamen for the 100 minute run time , and the protagonist ' bohemian boorishness mar the spirit of good clean fun ."
254,0,"unfunny and lack any sense of commitment to or affection for its character , the reginald hudlin comedy relies on toilet humor , ethnic slur ."
255,4,"a deftly entertaining film , smartly play and smartly direct ."
256,1,as saccharine as it be disposable .
257,4,"it make compelling , provocative and prescient viewing ."
258,0,the whole mess boil down to transparently hypocritical work that feel as though it 's try to set the woman 's liberation movement back 20 year . '
259,3,"a subtle , humorous , illuminate study of politics , power and social mobility ."
260,0,a mechanical action comedy whose seem purpose be to market the charismatic jackie chan to even young audience .
261,2,both the crime story and the love story be unusual .
262,1,only masochistic moviegoer need apply .
263,1,"spectator will indeed sit open mouth before the screen , not scream but yawn ."
264,2,there 's no clear picture of who kill bob crane .
265,3,kosminsky ... put enough salt into the wound of the tortured and self conscious material to make it sting .
266,3,a win piece of work fill with love for the movie of the 1960s .
267,2,gambling and throw basketball game for money be't new plot in fact toback himself use it in black and white .
268,2,"life or something like it have its share of high point , but it miss too many opportunity ."
269,4,an immensely entertaining look at some of the unsung hero of 20th century pop music .
270,0,a real snooze .
271,2,"except for paymer as the bos who ultimately express empathy for bartleby 's pain , the performance be so stylized as to be drain of human emotion ."
272,0,it 's crap on leash far too polite to scale the lunatic height of joe dante 's similarly style gremlin .
273,1,a puzzle whose piece do not fit .
274,2,"ice age be the first computer generate feature cartoon to feel like other movie , and that make for some glacial pace early on ."
275,0,amazingly lame .
276,1,do't say you be't warn .
277,3,"at its most basic , this cartoon adventure be that wind in the hair exhilarate ."
278,1,"the problem with the bread , my sweet be that it 's far too sentimental ."
279,1,"belongs in the too hot for tv direct to video dvd category , and this be why have give it one star rating ."
280,3,"predictable and cloying , though brown sugar be so earnest in its yearning for the day before rap go nihilistic that it summon more spirit and bite than your average formulaic romantic quadrangle ."
281,2,"the dose be strong and funny , for the first 15 minute anyway after that , the potency wan dramatically ."
282,1,"a non britney person might survive screening with little harm do , except maybe for the last 15 minute , which be as maudlin as any after school special you can imagine ."
283,1,i 'm sure there 's teenage boy out there somewhere who 's die for this kind of entertainment .
284,4,a serious movie with serious idea .
285,1,jaglom offer the none too original premise that everyone involve with moviemaking be con artist and liar .
286,2,what 's leave be rich stew of longing .
287,3,one funny popcorn flick .
288,1,"like medium grade network sitcom mostly inoffensive , fitfully amuse , but ultimately so weightless that decent draft in the auditorium might blow it off the screen ."
289,0,we do't get pay enough to sit through crap like this .
290,4,this often hilarious farce manages to generate the belly laugh of lowbrow comedy without sacrifice its high mind appeal .
291,4,"the art direction be often exquisite , and the anthropomorphic animal character be beautifully realize through clever makeup design , leave one to hope that the eventual dvd release will offer subtitle and the original italian language soundtrack ."
292,4,the bard as black comedy willie would have love it .
293,3,earnest and heartfelt but undernourished and plodding .
294,0,you ca't believe anyone would really buy this stuff .
295,3,"although it lack the detail of the book , the film do pack some serious suspense ."
296,3,"confession may not be straightforward bio , nor do it offer much in the way of barris ' motivation , but the film be an oddly fascinating depiction of an architect of pop culture ."
297,3,"if you think it 's riot to see rob schneider in young woman 's clothes , then you 'll enjoy the hot chick ."
298,2,formula 51 have dull your sens faster and deep than any recreational drug on the market .
299,1,"halfway through the movie , the humor dwindles ."
300,0,"imagine kevin smith , the blasphemous bad boy of suburban jersey , if he be strip of most of his budget and all of his sense of humor ."
301,2,a close to solid espionage thriller with the misfortune of be release few decade too late .
302,0,an exercise in cynicism every bit as ugly as the shabby digital photography and muddy sound .
303,2,"decasia be what have happen already to so many silent movie , newsreel and the like ."
304,3,"a mature , deeply felt fantasy of director 's travel through 300 year of russian history ."
305,1,"the film do't sustain its initial promise with jarring , new agey tone creep into the second half"
306,3,"touch smartly and wistfully on number of theme , not least the notion that the marginal member of society ... might benefit from help hand and friendly kick in the pant ."
307,2,the isolated moment of creative insanity finally be lose in the thin soup of canned humor .
308,4,a film with almost as many delight for adult as there be for child and dog lover .
309,1,... better describe as ghost story go badly awry .
310,3,feature fincher 's characteristically startling visual style and an almost palpable sense of intensity .
311,0,"there be no psychology here , and no real narrative logic just series of carefully choreograph atrocity , which become strangely impersonal and abstract ."
312,0,a derivative collection of horror and sci fi cliche .
313,1,"if any of them list this ` credit ' on their resume in the future , that 'll be much funny than anything in the film ..."
314,2,grow up quibble be beside the point here .
315,2,"it 's get some pretentious eye roll moment and it do't entirely grab me , but there 's stuff here to like ."
316,3,"jae eun jeong 's take care of my cat bring beguiling freshness to come of age story with such buoyant , expressive flow of image that it emerge as another key contribution to the flowering of the south korean cinema ."
317,2,"the path ice age follow most closely , though , be the one establish by warner bros. giant chuck jones , who die matter of week before the movie 's release ."
318,0,"they be afraid to show this movie to reviewer before its opening , afraid of the bad review they think they 'd earn ."
319,2,some movie blend together as they become distant memory .
320,2,"even these tale of just seven child seem at time too many , although in reality they be not enough ."
321,2,"a highly personal look at the effect of live dysfunctionally privileged lifestyle , and by the end , we only wish we could have spend more time in its world ."
322,2,each scene wreaks of routine the film never manage to generate single threat of suspense .
323,4,"as the movie trace mr. brown 's athletic exploit , it be impossible not to be awe by the power and grace of one of the great natural sportsman of modern time ."
324,2,"in my opinion , analyze that be not as funny or entertaining as analyze this , but it be respectable sequel ."
325,3,surprisingly insightful
326,1,it make me realize that we really have't have good cheesy movie playing in theater since ... well ... since last week 's reign of fire .
327,3,allen 's best work understand why snobbery be good satiric target than middle america diversion could ever be .
328,3,"prove servicable world war ii drama that ca't totally hide its contrivance , but it at least call attention to problem hollywood too long have ignore ."
329,3,cox create fluid and mesmerize sequence of image to match the word of nijinsky 's diary .
330,1,"the character be base on stock clich , and the attempt to complicate the story only defy credibility ."
331,2,"um , no . ."
332,2,"director chef gabriele muccino keep it fast zippy , comin ' at ya as if fear that his film be molto superficiale ."
333,0,the irwins ' scene be fascinate the movie as whole be cheap junk and an insult to their death defying effort .
334,1,"medem may have disrobe most of the cast , leave their body expose , but the plot remain as guard as virgin with chastity belt ."
335,4,"maelstrom be strange and compelling , engross and different , moral tale with twisted sense of humor ."
336,2,the only time crazy night come close to hit comedic or satirical target be during the offbeat musical number .
337,3,"a strong and confident work which work so well for the first 89 minute , but end so horrendously confuse in the final two"
338,0,you 'll trudge out of the theater feeling as though you ride the zipper after eat corn dog and an extra large cotton candy .
339,3,"a rivet profile of law enforcement , and visceral , nasty journey into an urban hades ."
340,2,but even with the two wrong make right chemistry between jolie and burn ... this otherwise appealing picture lose its soul to screenwriting for dummy conformity .
341,3,"a very well mean movie , and it will stand in future year as an eloquent memorial to the world trade center tragedy ."
342,1,"even in term of the low grade cheese standard on which it operate , it never quite make the grade as tawdry trash ."
343,0,"a wishy washy melodramatic movie that show us plenty of sturm und drung , but explain its character ' decision only unsatisfactorily ."
344,2,entertainment more disposable than hanna barbera 's half hour cartoon ever be .
345,1,the mantra behind the project seem to have be ` it 's just kid ' flick . '
346,4,"intensely romantic , thought provoking and even an engaging mystery ."
347,0,"at the one hour mark , herzog simply run out of idea and the pace turn positively leaden as the movie sputter to its inevitable tragic conclusion ."
348,2,"not the best herzog perhaps , but unmistakably herzog ."
349,1,"the pairing do sound promise in theory ... but their lack of chemistry make eddie murphy and robert deniro in showtime look like old , familiar vaudeville partner ."
350,1,leaf viewer out in the cold and undermine some phenomenal performance .
351,2,match neorealism 's impact by show the humanity of war torn land fill with people who just want to live their life .
352,2,play like checklist of everything rob reiner and his cast be send up .
353,0,even the hastily and amateurishly drawn animation can not engage .
354,4,"an example of quiet , confident craftsmanship that tell sweet , charm tale of intergalactic friendship ."
355,0,staggeringly dreadful romance .
356,2,will no doubt delight plympton 's legion of fan others may find 80 minute of these shenanigan exhaust .
357,3,meyjes ' provocative film might be call an example of the haphazardness of evil .
358,1,"he do't , however , deliver nearly enough of the show 's trademark style and flash ."
359,1,"one hour photo may seem disappoint in its generality , but it 's the little nuance that perhaps have to escape from director mark romanek 's self conscious scrutiny to happen , that finally get under your skin ."
360,1,"be anyone else out there get tire of the whole slo mo , double pistoled , ballistic pyrotechnic hong kong action aesthetic ?"
361,1,action mechanical .
362,2,it bite hard .
363,0,a half assed film .
364,2,a hidden agenda drama that shout classic french nuance .
365,2,"take one character we do't like and another we do't believe , and put them into battle of will that be impossible to care about and be't very funny ."
366,1,"at time when we 've learn the hard way just how complex international terrorism be , collateral damage paint an absurdly simplistic picture ."
367,3,"it may scream low budget , but this charmer have spirit that can not be deny ."
368,1,"but even then , 'd recommend wait for dvd and just skip straight to her scene ."
369,2,ali 's graduation from little screen to big be far less painful than his open scene encounter with an over amorous terrier .
370,1,one of those so so film that could have be much better .
371,4,the writing be clever and the cast be appeal .
